harari_latin,english,category,notes
ge sinan,the language of the city,noun,name for Harari language
ge,city,noun,designates the city of Harar
gimadtera,chatter,verb,cf. Amh. gabattara
misbar,nail,noun,variant: mismay
mismay,nail,noun,variant: misbar
dana,cloud,noun,cf. Tna. dammana/dabana
din,stone,noun,cf. Heb. eben
arrat,tongue,noun,body part
hil,cabbage,noun,vegetable; cf. G. haml
at,bone,noun,body part; cf. Heb. esem
sat,eight,numeral,cf. Sem. tmn/smn
gis,barley,noun,grain; cf. Amh. gabs
kid,liver,noun,body part; cf. Heb. kabed
tot,breast,noun,body part; also to-t
lehafa,peel a tree,verb,
laxa,send,verb,
haleba,to milk,verb,
bala'a,eat,verb,
tala'a,be dark,verb,
(a)mdalata,escape,verb,
hazala,carry on the back,verb,
masdala,appear; be like,verb,
asala,climb; go up,verb,
dabala,add; join,verb,
(ta)xetala,follow,verb,
qabala,decrease,verb,
kadasal,charcoal,noun,
magi,pus,noun,cf. Amh. magal
qutti,leaf,noun,cf. G. qasal
axi,cereal; grain,noun,cf. Te. akal
gigi,young of animals,noun,cf. Tna. golgal
aqti,leech,noun,animal; cf. G. alqt
saya,shade,noun,cf. Te. Tna. salal
tey,sheep,noun,animal; cf. G. tali
xadana,cover,verb,
qunde,flea,noun,insect
anasti,female,noun/adjective,cf. C. arast
uzun,ear,noun,body part
tuxan,bug,noun,insect
amna,last year,noun/adverb,time expression
raxaba,obtain,verb,
raga'a,coagulate,verb,
rota,run,verb,
daraqa,be dry,verb,
berrara,fly,verb,
tara'a,call,verb,
maraxa,take booty,verb,
saraqa,light of the moon,noun,
kuru',cubit,noun,unit of measurement
hange,all right,interjection/adverb,
inet,wood,noun,material; cf. G. as
ganga,tendon,noun,body part
indoc,woman,noun,variant: idoc
idoc,woman,noun,variant: indoc
hetara,make a fence,verb,
adari,pigeon,noun,bird
agadu,cattle pen,noun,structure
haga,observe,verb,
gagara,bake,verb,cf. Arg. gangira 'bread'
axxa',now,adverb,time expression
axista,maternal aunt,noun,family relation
usux,thorn,noun,plant part
baxti,carrion,noun,dead animal flesh
farika,can; be able,verb,auxiliary verb
kirmi,rainy season,noun,season; weather
adu,manure,noun,cf. G. addawa 'sweep'
berad,hail,noun,weather
gedu,pit,noun,
diga,come,verb,
tora'a,excel,verb,
hakala,adze,verb/noun,tool-related
baka,cry,verb,
igi,hand,noun,body part; cf. G. Te. ad
samdaga,squeeze,verb,
cigar,hair,noun,body part; cf. G. sagar
xega,stamp,verb,cf. G. kasa; Amh. kasa 'go'
agabari gehri,shepherd,noun,variant: agabari gerhi
agabari gerhi,shepherd,noun,variant: agabari gehri
bufhait,bladder,noun,body part; variant: buhfaii
buhfaii,bladder,noun,body part; variant: bufhait
fuddi fohri,worms of small children,noun,medical term; variant: fuddi forhi
fuddi forhi,worms of small children,noun,medical term; variant: fuddi fohri
giddagad,wall,noun,structure; variant: digadag
digadag,wall,noun,structure; variant: giddagad
giragaba,return,verb,variant: argagaba
argagaba,return,verb,variant: giragaba
katambari,entrance of the compound,noun,variant: takamberi
takamberi,entrance of the compound,noun,variant: katambari
alagaha,lend,verb,variant: alehaga
alehaga,lend,verb,variant: alagaha
gibla,north,noun,direction; loanword; variant: gilba
gilba,north,noun,direction; loanword; variant: gibla
afwi,forgiveness,noun,loanword; variant: awfi
awfi,forgiveness,noun,loanword; variant: afwi
magsat,penknife,noun,tool; loanword; variant: masqat
masqat,penknife,noun,tool; loanword; variant: magsat
xazarani,walking stick,noun,object; loanword; variant: xarazani
xarazani,walking stick,noun,object; loanword; variant: xazarani
sabara,unknown verb example,verb,stress example
agida,unknown verb example,verb,stress example
xana,unknown verb example,verb,stress example
dga,unknown verb example,verb,stress example
mota,unknown verb example,verb,stress example
dildila,unknown verb example,verb,stress example
adab,unknown noun example,noun,stress example
basay,unknown noun example,noun,stress example
idat,unknown noun example,noun,stress example
dufan,unknown noun example,noun,stress example
baradz,unknown noun example,noun,stress example
buskumat,unknown noun example,noun,stress example
ahattai,unknown noun example,noun,stress example
alad,unknown noun example,noun,stress example
dinat,unknown noun example,noun,stress example
ada,unknown noun example,noun,stress example
afata,unknown noun example,noun,stress example
gayya,unknown noun example,noun,stress example
dida,unknown noun example,noun,stress example
futira,unknown noun example,noun,stress example
bezaha,be abundant,verb,cf. Amh. bazza
(a)wdzaa,perspire,verb,
naddala,pierce,verb,
haddaga,abandon,verb,
gaba'a,return home,verb,
gaba'a,anoint,verb,homophone with 'return home'
agada,bind,verb,
sagala,hang up against the wall,verb,
angar,stomach,noun,body part
fata,be satiated,verb,
meta,wash clothes,verb,
fata,grind,verb,homophone with 'be satiated'
