harari_latin,english,category,notes
uriis,head,noun,body part
uriis gé,head of the bed (lit. side of head),noun,compound
uriis filla,headache,noun,medical
uriis dabiq,stubborn; obstinate,adjective,
uriis argagaba,restore the hair into shape in the morning,verb,
uriis gé ali,relatives on the father's side,noun,kinship
uriis qulullu,shaved (girl's head),adjective,
uriis cat,the cat that grows near the water supply,noun,plant
uriis malak,oblong head,noun,
arsi,throne,noun,from Arabic
arrat,tongue,noun,body part
arratiiinia,who has a bad tongue,adjective,
arratam,who has a bad tongue,adjective,
arrat gudor,who has a bad tongue,adjective,
arrat masah,who has a bad tongue (lit. tongue like a knife),adjective,
sabah arrat,talkativeness (lit. fat tongue),noun,
daw arrat zola'a,talkative (lit. who ate the tongue of the goat),adjective,
artu,night,noun,time
arti,night,noun,time; variant of artu
hoki arti,tonight,adverb,time
nisfi arti,midnight (lit. middle of the night),noun,time
gidiy yamad orti,on the eve of the holiday,adverb,time
arti aif,bat (lit. bird of night),noun,animal
aray,kind of blue bird,noun,animal
iriyow iri,riddle; story; tale; folktale; formula to introduce a fable,noun,
uriyowori,riddle; story; tale; folktale,noun,variant
ariiz,bridegroom; bridal house,noun,
ariizit,bride,noun,
ariiz gay,the house where newly married couple stays for the first week,noun,
ariiz wata'a,leave the bridal house,verb,
ariiz agabara,bring the bride into the bridal house,verb,
ariiz magba',the procession of bringing the bride into the new home,noun,
ariiz ariiz,game of bride and bridegroom,noun,game
ariiza,be naked due to poverty,verb,
iraat,nakedness,noun,
iraz,cloth; garment,noun,clothing
erz,cloth; garment,noun,clothing; variant
gé iraz,black dress worn by women over the ordinary dress when they go out,noun,clothing
fay iraz,black dress worn by women over the ordinary dress,noun,clothing
xatti waz,precious cloth worn only on special occasions,noun,clothing
sugli iraz,apron (lit. cloth of work),noun,clothing
bey iraz,working cloth (lit. cloth of boy),noun,clothing
siif iraz,suit (lit. cloth of wool),noun,clothing
iraz muday,basket for clothes,noun,
mixadda iraz,pillow case,noun,household
iraz mahata,weave,verb,craft
aissu,pepper prepared with other spices,noun,food/spice
hirassu,salt,noun,food/spice
as,oat,noun,food/grain
is,while,conjunction,
isal,while he is,conjunction,
is-ahad,some,pronoun,
is-ahad-le,one by one,adverb,
is-ahad gir,sometimes,adverb,
is-balat,special,adjective,
is-balbilat,special,adjective,
is-muffi,apart,adverb,
is-hullu,true,adjective,
us-hullu,true,adjective,variant
ista... ista,whether... whether,conjunction,
us,hush,interjection,
usu',man; mankind; somebody,noun,
usu' waldi,highborn; freeborn,noun,
ahad usu'um,none (with negative verb),pronoun,
zixasew usu'um,anyone (lit. the man who wants it),pronoun,
bad-zo usu',native (lit. man of the country),noun,
gé usu',an inhabitant of Harar; people in general,noun,
gé usu',a Harari (not a Galla nor an Amhara),noun,ethnicity; stress on usu'
darga usu,country man (lit. the man of the outside of the city),noun,
alla usu',pious man (lit. man of Allah),noun,religion
asaba,insert; introduce; put in; share with; include,verb,
mi asaba,pour water on something,verb,
luqma asaba,take a mouthful,verb,
tanfas asaba,inhale,verb,
dif asaba,let the air through (lit. insert the air),verb,
qulufa asaba,entangle the feet of a person or cattle to make it fall,verb,
asida,transport; take from one place to another,verb,
isfalti,asphalt,noun,from French/Italian
ashab,companions of the prophet,noun,religion
isahad,some; several; each,pronoun,
isahad-zo,each one; some (pronoun),pronoun,
askakahti,cackle (fem.),verb,
askir,soldier,noun,from Arabic
usux,thorn,noun,plant
asala,climb; ascend; go up,verb,
masal,going up; climbing,noun,
gala masal,staircase,noun,
usul,principles,noun,from Arabic
islam,Moslem,noun,religion
isnin,Monday,noun,day of week
asara,effect,noun,from Arabic
assir,ten; double,noun,number
assortan,tenth,adjective,ordinal number
asri,time of prayer at four o'clock in the afternoon,noun,religion/time
asre,toward four o'clock,adverb,time
atahara asri,time from four to six in the afternoon,noun,time
asri subah,afternoon meal,noun,food/time
esratiina,prisoner,noun,
usraya,the fifth period of the biyag-season,noun,time/season
asas,foundation,noun,from Arabic
asita,young grain,noun,agriculture
osat,fire,noun,
isat,fire,noun,variant
arab isat,strong fire,noun,
isat talahada,start to burn (fire),verb,
isat atlahada,start the fire,verb,
isat cahava,take the embers from the fire,verb,
ista(n) gir,perhaps,adverb,
ista-zo,although,conjunction,
ista-zom,nevertheless; even though; in spite of this,conjunction,
ista qada,even though,conjunction,
istifrax asa,vomit on purpose,verb,from Arabic
asta,mark; scar,noun,
ustu-be,inside; within; in the interior,adverb,location
ustu-dale,from the inside,adverb,location
astra,line across a page,noun,
asafara,line across a page,noun,variant
asay,mourning of the wife after her husband,noun,
asay fora,mourn (lit. she carried the mourning),verb,
asa,make; act; have intercourse (euphemism),verb,
ase ase,kind of bird with different colors under different light; person who changes his mind,noun,animal
is,sound used to chase away a hen,interjection,
as,sound used to chase away a hen,interjection,variant
isa'i,time of evening prayer between seven and eight,noun,religion/time
asidday,classmate,noun,
ashiya,lizard,noun,animal
ashiyya,lizard,noun,animal; variant
askar,servant,noun,
asin,shoe,noun,clothing
gar asin,house shoe,noun,clothing
asaqa,fall in love,verb,emotion
isqi,love between man and woman,noun,emotion
