harari_latin,english,category,notes
-a,and,conjunction,used if two terms are in common semantic sphere
i,yes,interjection,from Galla
abba,elder brother; form of address to father or older brother or male person older than speaker,noun,also any young man acting as brother to bride during wedding
gave abba,husband,noun,lit. the man of my house
abba misti,sister-in-law,noun,lit. the wife of the elder brother
abba ge,boss,noun,
ahad abba,a certain man,phrase,
abd,exclamation of embarrassment or boredom,interjection,
ab,disgrace,noun,from Arabic ayb
abo,small spear,noun,from Cushitic
ebi,tear,noun,Semitic root
abde,male; husband; courageous; brave; hero; bold,noun/adjective,related to Semitic root for father
abad,never,adverb,see abadan
abid,worshipper,noun,from Arabic
ibada,prayer; worship,noun,from Arabic
ibad asa,pray,verb phrase,
abadan,never,adverb,from Arabic
abugadid,kind of cloth,noun,from South Arabian
abilla,refuse,verb,from Sidamo
abultayni,fourth period of the beyza season,noun,from Arabic al-butayn
abar,famine,noun,connected with root for dry
abiira sa,investigate; determine,verb phrase,from Arabic abbara interpret
abiisa,trouble; misfortune,noun,meaning derived from Geez sin
absa,whey,noun,dairy product
absum,circumcision,noun,from Galla
absum asa,circumcise,verb phrase,
absum adelaso,uncircumcised,adjective,lit. he whom one did not circumcise
absuma,grandchild (male),noun,from Cushitic
absumit,grandchild (female),noun,from Cushitic
abat,yard; court-yard; compound,noun,also in Cushitic
gara abat,house and yard,noun phrase,
gala abat,veranda for the upper story,noun phrase,lit. the court-yard of the upper story
abbay,elder sister; mother,noun,form of address
abbayyo,lady,noun,used if one does not know her name
gare abbayyo,wife,noun phrase,lit. the lady of my house
abbayoye,my wife,noun phrase,
aboya,afterbirth,noun,probably from Galla
abzah,most; majority; mostly; the greatest part,adverb/noun,elative form of root for be abundant
abzahem,most,adverb,
abzah usu,most people,noun phrase,
abzah gir(um),most often,adverb phrase,
aga,take off; take out; make go out; bring out; reveal; vomit,verb,euphemism for vomit
attaga,contribute,verb,
mahalleq aga,spend money,verb phrase,lit. make go out money
gavu aga,stretch the members of the body after sleep,verb phrase,lit. make go out the shoulder blade
tanfas aga,breathe; take a rest,verb phrase,lit. make go out the breath
ru-zo aga,withdraw oneself,verb phrase,
quran aga,recite well the Koran or the lesson,verb phrase,
maitaga,contribution in money to celebrate festivities; party organized with contributed money,noun,
basar metega,spatula for meat,noun,lit. instrument serving to take out the meat
agaga,hatch; produce many children (man or cattle),verb,from aga with repeated last consonant
ada,pass,verb,Semitic root
ada,custom,noun,from Arabic
adu,manure,noun,
ada,tell; inform,verb,
id,holiday of id al-fitr after Ramadan,noun,from Arabic
idda,instruments,noun,from Arabic
idde,here,adverb,
idda-be,there,adverb,
ad,threshing field; heap of corn,noun,
ad marbarab,light rain during rainy season,noun phrase,lit. that which waters the threshing field
ad barti,flail,noun,lit. the stick of the threshing field
igi ad,inside of hand,noun phrase,
ad aga,winnow,verb phrase,
ad areda,heap up the stalks on the threshing field,verb phrase,
(isi) ad,inside of the hand,noun,called so because inside of hand is open like a threshing field
adib,good manners,noun,from Arabic
adib-be,modestly,adverb,
adib asa,behave well,verb phrase,
adab qalil,ill-mannered,adjective phrase,
adab zala,polite; well-mannered,adjective phrase,lit. who has good manners
