harari_latin,english,category,notes
harkarro,pig,noun,animal; also wild pig
karama,esteem,noun,from Arabic karama
kirmi,rainy season lasting from June 22 to September 24,noun,season; also called ganna
korma,"male (animal), brave",adjective,determinative of a male animal
krumba,kind of cabbage,noun,food/vegetable
kurumbay,elbow,noun,body part
karamella,candies,noun,food; from French caramel
korakeritt baya,be rough (surface),verb,
karara,"become tight (thread that is twisted by passing it between the palms), become stiff (skin or a dead animal)",verb,
karara,chatter continually; speak much in a loud voice,verb,
karava,continual chatter so that the voice becomes hoarse,noun,
kirar,string musical instrument,noun,musical instrument
kirira,wart,noun,medical/body
kororima,kind of spice,noun,food/spice
karsi,"abdomen, belly",noun,body part
karsi dirgat,constipation,noun,medical; lit. dryness of the abdomen
karsi quina,"stomachache, colic",noun,medical; lit. cutting of the stomach
karsi an,cruel,adjective,lit. stomach like stone
karsi mullu?,pregnant,adjective,lit. stomach full
karsi malgalag,the last child born to a family,noun,lit. the rinsing of the stomach
karsi asta,conceive,verb,
karsi ajabaga,be cruel,verb,
karsi aleta,purge,verb,lit. make the stomach go
karsi agara,offend,verb,
karsi araa,reveal a secret,verb,lit. show the belly
karsim,"voracious, big eater, who has a big belly",adjective,
kursi,"chair, stand on which the Koran is placed while one recites it",noun,furniture; from Arabic kursiyy
karat,"steep ascent, uphill, difficulty",noun,
kirtat,secluded room of women,noun,architecture/room
kurraz,kind of lamp in which the burning wick is not enclosed,noun,object/lamp
karazani,walking stick of bamboo,noun,object
kassa,animal fat (not edible),noun,
kas,cup made from a gourd,noun,container
kis,"pocket, bag",noun,container
kissat,pocket money,noun,money; lit. that of the pocket
kissi waldi,"illegitimate child, bastard",noun,
kus,heap,noun,
kasbi,profit in business,noun,commerce
kuskus,kind of biscuit,noun,food
kasal,charcoal,noun,material
kasmasiia,adversary in a lawsuit,noun,legal
kismadinia,adversary in a lawsuit,noun,legal; variant of kasmasiia
kusar,kind of plant,noun,plant
kasasa,accuse,verb,
takasasa,sue,verb,
kasa,beverage (often used for alcoholic drinks),noun,food/drink
kusa,engaged; fiancee,noun,relationship
kusa asa,affiance; be engaged,verb,
kusinat,engagement,noun,relationship
kuskus baya,"move slowly to another place, be displaced slowly",verb,
kuskus asa,move (transitive),verb,
kasana,prepare a delicious meal,verb,cooking
kasra,of inferior quality,adjective,
kat,feather,noun,animal part
kit,if you dare!; would you dare!,interjection,
kot,two,noun,number
kot,coat,noun,clothing; from English coat
kut,"as, like, in order that",conjunction,
kut-be,"about, according to",preposition,
yikut,thus,adverb,lit. like this
minkut-be,how?,adverb,lit. like what?
ahad kut-be,"perhaps, if it happens",adverb,
kataba,write,verb,from Arabic kataba
atkattiba,have an inscription written,verb,
ahmara kitab,butterfly,noun,animal; lit. book of the Amhara
kitab gar,"magician who writes amulets, sorcerer, native doctor",noun,occupation
katifa,"hash, cut into pieces, chop",verb,cooking
kutwf,meal in which the bread is mixed with the sauce,noun,food
kutuf basar,chopped meat,noun,food
kutuf waldi,a very young child,noun,
kitli,kettle,noun,container; from English kettle
kotalik,Catholic,noun,religion; from Greek
katimbari,entrance or gate of the compound,noun,architecture
katara,terrace in a field,noun,agriculture
kawiya,pressing iron,noun,object
kawiya xana,be ironed,verb,
kawiya asa,iron (verb),verb,
kuya,twenty,noun,number
kayfiya,manner,noun,from Arabic kayfiyya
kiz,lie (noun),noun,
kiz amada,lie (verb),verb,
kizzab,liar,noun,from Arabic kaddab
kizabdaniia,liar,noun,
-x,as to,suffix,
xa?in,cheater,noun,from Arabic
xada?a,"abjure, deny, betray",verb,from Arabic
xadama,render service,verb,from Arabic
xadim,servant,noun,
xaddam,lower servant,noun,
xadina,"cover, thatch",verb,
maxdar,"cover of any kind, lid",noun,
xudra,vegetable,noun,food; from Arabic
xuffi,low shoe of Western type,noun,clothing/footwear; from Arabic
xafafa,be light,verb,from Arabic
xafif,light,adjective,
xafif xana,be light,verb,
axafara?,snore,verb,
xaifa,"stamp, trample, tread, have intercourse",verb,
xigaga,trample continuously,verb,
xuxi,peach,noun,food/fruit; from Arabic
xal,vinegar,noun,food; from Arabic
taxalafa,"quarrel, disagree, contradict",verb,
xilaf,"opposition, disagreement, controversy",noun,
xalaqa,create; invent,verb,from Arabic
xalqi,people,noun,from Arabic
xllis,sincere,adjective,from Arabic
xalat,"error, mistake",noun,
xalat asa,err,verb,
xalafa,"be acid, be sour, have the taste or the effect of acidity",verb,
xamri,wine,noun,food/drink; from Arabic
xamis,Thursday,noun,day of week; from Arabic
xamis karaibi,myrrh of Thursday,noun,
yawm al-xamis,Thursday,noun,from Arabic
xamsin,fifty,noun,number; from Arabic
xana,"be, become, be all right",verb,from Arabic
xana baya,"agree, consent",verb,lit. say it is
xana gir,whether,conjunction,
yaxnimam,"whatever it is, however, be it as it may",adverb,
xara,dig a hole,verb,
maxra,pick,noun,tool
xara,filthy (used as an insult),adjective,from Arabic; excrement
xarib,stranger,noun,
xuragiya,expenses,noun,from Arabic
xarxar da,gurgle,verb,onomatopoetic
xargi xana,"drown, sink, become immersed",verb,from Arabic
xarita,cloth envelope for books,noun,from Arabic; lit. bag
xazarani,walking stick of bamboo,noun,
xasara,"lose in business, be bankrupt",verb,from Arabic
xasira,loss,noun,
xasa,"desire, like, want, wish",verb,
alxasa,be necessary,verb,
alxasa-,need; be necessary to,verb,
xisona,will,noun,
zixasew uswum,anyone,noun,lit. the man who wants it
xisona,will,noun,
taxattala,"follow, escort",verb,
taxtatala,"follow closely, supervise",verb,
xatama,read the Koran to the end,verb,from Arabic; in quran xatama
xatima,conclusion,noun,from Arabic
xatmi,seal,noun,from Arabic
xatara,"hinder, prevent, forbid, deprive",verb,
xatara-b-,keep away from,verb,
adtara-l-,"defend someone, protect",verb,
taxattara,defend oneself,verb,
xatita,"store, save for the future",verb,
xattata,he who stores,noun,
