harari_latin,english,category,notes
ogésa,physician,noun,profession
ag,tusk,noun,from Arabic 'ag (ivory)
afgu-(be),early; soon,adverb,
igi,hand; part,noun,body part
igi agi,back of the hand,noun,body part compound
igi harda,palm of the hand,noun,body part compound
igi lid,inside of the hand,noun,body part compound
igi-gé,sleeve,noun,clothing
igi mi,water served before or after meal for washing hands,noun,meal custom
hardittas igi,quarter; a fourth part,noun,fraction
igi médhata,applaud; clap hands,verb,
igi ndsaa,greet,verb,
igi dvdda,bit; lower the hand,verb,
igi-wa writs aSa,kiss the hand,verb,greeting custom
igd havir,thief (slang),noun,lit. hand of sill
igi mull,handful,noun,measurement
igi qof,empty-handed,adjective,
afa igi,food,noun,lit. mouth and hand
a%a'ib,splendid; extraordinary,adjective,from Arabic
igab,the action of putting incense into the censer and pray,noun,religious practice
agal,fate,noun,from Arabic
agnabi,foreigner,noun,from Arabic
igay,gourd for perfumed water for the bride's house,noun,container; wedding custom
ah,exclamation of pain,interjection,
ahwe,exclamation of pain,interjection,
eh,younger brother; junior,noun,family relationship
ahit,younger sister,noun,family relationship
oho? baya,cough (v.),verb,
ahad,one; same,number,
ahiad ko?ot,argument back and forth,noun,lit. one and two
ahad ahad,several; some,adjective,
ahad ahad-le,one by one,adverb,
ahad-ziyu akad-ziyu,one another's,pronoun,
ahadu-m,anything; nothing (with negative verb),pronoun,
ahad ayna,same,adjective,
ahad qéssi,about,preposition,
ahad swum,whoever,pronoun,
ahad uswwn,none (with negative verb),pronoun,
ahasswum,none (with negative verb),pronoun,
ahad Si(m),something; anything; nothing (with negative verb),pronoun,
ahaSsri,something; anything; nothing (with negative verb),pronoun,
ahad attay-be,somewhere; together,adverb,
ahad abba,a certain man,noun,
ahatti abba,only one fellow,noun,
ahad meg,a certain man,noun,
ahad-ku-fo% ariéda,put aside,verb,lit. place toward one side
ahad kut-be,perhaps; if it happens,adverb,
ahad girum,never,adverb,
is-ahad,some,adjective,
had gir,sometimes,adverb,
ahadde,together,adverb,
ahadde-be,together,adverb,
qitte ahad,each one; everyone,pronoun,
asrahad,eleven,number,
qilfe ahazzo,anyone,pronoun,
ahatiai,first,adjective,ordinal
ahadndt-be,together,adverb,
ahaddé,together,adverb,
ahaddé-be,together,adverb,
ahadnit-be,together,adverb,lit. with oneness
ahli,relatives,noun,family; from Arabic ahl (family)
'ddd ahli,relatives by friendship,noun,family relationship
gama bisiy ahli,blood relatives,noun,family relationship
uviis gé ahili,relatives on the father's side,noun,family relationship
ingiy gé ahili,relatives on the mother's side,noun,family relationship
ahlinét,relationship,noun,
ahmira,non-Moslem,noun,metathesis of Amhara
ahmira kitab,butterfly,noun,lit. the book of the Amhara
ahar-be,behind; in the back,preposition,
ahar-le,behind,preposition,
ahir baya,delay,verb,
ahiy amit,next year,noun,time expression
ahrézo%,so then,adverb,
aha88i'i,something; anything; nothing (with negative verb),pronoun,
ehit,younger sister,noun,family relationship
ihti,dysentery,noun,disease
ahatim,bride up to the end of the first year; newly married until she gives birth to her first child,noun,marriage status
ahattaii,first,adjective,ordinal
ahatta mawlid,name of month,noun,lit. first mawlid
ahattainiat,first place,noun,
ahwe,what a pity!,interjection,
ukku,thus; just so; gratis,adverb,
ukhu-zo-be,for nothing; in vain; just so,adverb,
iklil,the first period of the ziwal-season,noun,time/season
ukkur,seedling,noun,plant; from Galla
axx,how!,interjection,
axi,cereal; sorghum,noun,food/grain
axi mqaé,mortar for grain,noun,tool
ariib axi,maize,noun,food/grain
awi gédu,granary dug in the ground,noun,storage
axxa?,now,adverb,time
axxa'zo,right now,adverb,time
axxazzo,right now,adverb,time
axax,you (singular masculine),pronoun,
axax (fem.),you (singular feminine),pronoun,
axaxu,you (polite; speaking to someone),pronoun,
axaxu baya,use the form of politeness,verb,lit. say axaxu
axaxié,you (plural),pronoun,
oxole,gourd for milking,noun,container; from Cushitic
axxam,again,adverb,
waaxxam,and also,conjunction,
axir,last,adjective,from Arabic
axir-zo,at last,adverb,
Axira,future life; future world,noun,religious; from Arabic
axista,maternal aunt,noun,family relationship
ax,you (singular feminine),pronoun,
axti,thick saliva by clearing the throat,noun,body product
uxat,flat bread,noun,food
arab uxat,kind of fine pancake,noun,food
diis uxat,honeycomb filled with honey,noun,food; lit. flat bread of the honey
al-,prefixed morpheme of negation,prefix,grammar
al-dallagi,idle,adjective,lit. non-worker
almira,disobey,verb,lit. he did not obey
zalbad,strange country,noun,lit. which is not the country
alta,he is not,verb,copula negative
-al,there is; he is,verb,copula
alla,God,noun,religious; from Arabic Allah
alla-be médgén baya,take refuge in God,verb,religious expression
alla magén,thank you!,interjection,
alla magdn baya,thank,verb,
alla usu?,pious man,noun,lit. a man of God
alla févi,Godfearing,adjective,religious
alla yival,God is my witness,phrase,lit. God sees
alla baya gir,if God will,phrase,lit. if God says
alla-fit-le yil,he does it for the sake of Allah,phrase,
alla alla,exclamation of surprise or astonishment,interjection,
ala,cane (of durra/sorghum) when still fresh; stem of sorghum with sweet taste,noun,plant
dla barxi,each part of the sorghum stem between the joints,noun,plant part
dla baxvi,each part of the sorghum stem between the joints,noun,plant part
dla Sankoy,sugar cane,noun,plant
ala,stagnant water,noun,water; from Cushitic
élu(m),there is not,verb,negative existence
élii(m),there are not,verb,negative existence plural
éla-m,he does not have,verb,negative possession
ila,until; till,preposition,from Arabic
ila qéssim,till; until,preposition,
illa,great harm; disease resulting from being harmed,noun,from Arabic (illness)
illi,purified liquid honey,noun,food
albo,anklet,noun,jewelry/accessory
albergo,inn,noun,from Italian
élid,flower,noun,plant
gé élid,kind of flower,noun,lit. flower of Harar
aldabra,the sixth period of the bayag-season,noun,time/season
aléf,lower in scholastic degree in relation to lagi,noun,education
alfi,thousand,number,
alfurdtam,ill-mannered,adjective,lit. who is without fear
aldga,stranger; who does not belong to the family or tribe,noun,
