harari_latin,english,category,notes
voda,attack; make an incursion,verb,from Arabic vada
ragaha,outweigh,verb,from Arabic ragaha
aragaha,outweigh,verb,variant of ragaha
raha,comfort; ease,noun,from Arabic raha
ruh,soul,noun,from Arabic ruh
ruh,oneself,pronoun,reflexive use
rahaba,be hungry; starve,verb,Semitic root
rahab,hunger,noun,from rahaba
rahabam,always hungry,adjective,from rahab
tarahama,give charity,verb,from Arabic rahima
rahmat,mercy; compassion,noun,from Arabic
rahmatinna,merciful,adjective,from rahmat
teradhama,be kind to one another,verb,reciprocal form
rahan,kind of fragrant plant,noun,from Arabic rayhan
haga,be far; keep at a distance,verb,Semitic root
avohaga,remove far,verb,causative of haga
ruhiug,far; distant,adjective,from haga
rahas,bull calf,noun,Ancient Harari rahas meaning male
rehasa,be wet,verb,Ethiopic root
avehasa,make wet,verb,causative of rehasa
ruhus,wet; humid,adjective,from rehasa
ruhwey,apprehension; fear,noun,connected with ruh meaning spirit
rakko,narrow,adjective,from Cushitic
rak'a,bending of torso in Moslem prayer ritual,noun,from Arabic rak'a
rukmi,corner,noun,from Arabic rukn
rukni,pillar,noun,from Arabic rukn
raxaba,obtain,verb,Ethiopic root
taraxaba,be found; be present,verb,passive of raxaba
atrexaba,hand over,verb,causative of raxaba
tevaraba,find one another; be available to one another,verb,reciprocal
rixab,possession,noun,from raxaba
raxrax,abundance,noun,probably from Arabic raha
raxrax,coffee grounds,noun,from Galla rakvaka; used with bun
rixisa,be cheap,verb,from Arabic rahis
rixis,cheap,adjective,from rixisa
ruxsa,permission; pile properly arranged,noun,from Arabic rujsa
rama,massage,verb,see reama
rema,massage,verb,variant of rama
ramada,line up in a row small piles of spices or grain,verb,probably from Galla
rumman,pomegranate,noun/food,from Arabic rumman
rammit,hair waves,noun,body part/appearance
rangi,paint,noun,of Persian origin
raqqa,stupid,adjective,perhaps from Galla rakko
riqqu,kind of eatable berry,noun/food,
areqa,allure; attract,verb,
rig,granary of clay,noun,probably from Cushitic
raqqage,mud,noun,from Cushitic
risa'a,forge,verb,Ethiopic root
risala,letter,noun,from Arabic risala
rasmi,official,adjective,from Arabic rasmiyy
risas,lead; bullet,noun,from Arabic rasa; Persian origin
rashada,be mature; serious,verb,from Arabic rashada
rata,remains of food between the teeth,noun,
ratta,the fourth day from today,noun,from rat meaning four
rata'a,win in a lawsuit,verb,Ethiopic root
tarata'a,lose in a lawsuit,verb,passive of rata'a
rat,spark; red hot pieces of wood that detach from fire,noun,perhaps from root rt
reta,run,verb,Semitic root
tirawija,run,verb,variant of reta
rutta,wet; humid,adjective,from Semitic root rtb
ratli,pound (weight),noun,from Arabic ratl; Greek origin
ritisa,be moist; be fresh,verb,contamination of roots rtb and rhs
retisa,be moist; be fresh,verb,variant of ritisa
rufus,moist; fresh,adjective,from ritisa
razza,bolt,noun,from Arabic raza
raz,rice,noun/food,from Arabic ruaz
rezina,be heavy; be serious,verb,Semitic root
rizin,heavy,adjective,from rezina
rizna,heaviness,noun,from rezina
rizuqa,bless someone with means of subsistence,verb,from Arabic razaqa; Persian origin
rizgi,sustenance; subsistence,noun,from rizuqa
sa,time; at the time of,noun,see saa
sa'a,hour; watch; time,noun,from Arabic sa'a; Aramaic origin
su'um,whoever (in ahad su'um),pronoun,lit. any man
sa'ada,distribute; divide,verb,
tesa'adu,share,verb,reciprocal of sa'ada
siga,part; share,noun,from sa'ada
sa'adu tabih,the third period of the gay-season,noun,from Arabic sa'ad ad-dabih
sa'adu bula',the fourth period of the gay-season,noun,from Arabic sa'd bula'
sa'adu sadda,the fifth period of the gay-season,noun,from Arabic sa'd as-su'id
sa'adu axbiya,the sixth period of the gay-season,noun,from Arabic sa'd al-abbiya
tasa'ala,implore; ask a favor from God,verb,Semitic root
swal,question,noun,from Arabic swal
sa'ar,grass,noun,Semitic/Ethiopic root
sar,grass,noun,variant of sa'ar
sa'aza,early morning (after subi),noun,from Cushitic
saza,early morning,noun,variant of sa'aza
siba,large jar of clay for water,noun,from Galla siba
sab'in,seventy,numeral,from Arabic sab'in (dialectal)
sibab,pretext; reason; cause,noun,from Arabic sabab
sibaha,be fat (animal); be fertile,verb,Semitic/Ethiopic root
sibah,fat (animal),adjective,from sibaha
subhi,early morning (after ificic),noun,from Arabic subh; also in Galla
subax,dye,noun,from Arabic sibag
sibax,dye,noun,variant of subax
sabla,kind of fig-tree,noun,Ethiopic
sabbaga,blanket,noun,also in Galla soboka
sabira,break,verb,Semitic root
sabri,patience; endurance,noun,from Arabic sabr
sabti,Saturday,noun,from Arabic sabt
subat,midday meal (used by children),noun,Ethiopic root
sibiy,baby,noun,from Arabic sabiyy
sita,drink; absorb liquid,verb,Semitic root
asita,give to drink,verb,causative of sita
mista,beverage; strong drink,noun,from sita
sata,smell good; have fragrance; smell,verb,Ethiopic root
asata,make smell good,verb,causative of sata
sudata,sniff,verb,from sata
sutna,good smell; fragrance,noun,from sata
satir,splinter,noun,Semitic/Ethiopic root
sidaba,insult; abuse,verb,
sidbam,insult,noun,from sidaba
sadada,chase away; expel,verb,Semitic root
sadaqa,alms,noun,from Arabic sadaqa
sadiga,split something along the grain; crack,verb,Semitic root
siddisti,six,numeral,Semitic root
siddistan,sixth,ordinal,from siddisti
siddisto,who has six fingers,noun,from siddisti
sifa,sew,verb,Semitic/Ethiopic root
saf,dish of roasted beef,noun/food,
safi,pure,adjective,from Arabic safi
sif,sword,noun,from Arabic sayf; Aramaic origin
sofa,rasp; file,noun,from Cushitic
sofi,ascetic,noun,from Arabic sufi
sif,wool,noun,from Arabic suf
suf,sunflower,noun,also in Cushitic
sefal,round mat of grass placed on floor as tablecloth,noun,also Somali safal
safar,name of month,noun,from Arabic safar
safara,measure with a cup,verb,Semitic root
safadara,camp,verb,Ethiopic root
safar,section of town,noun,from safadara
tasafara,depart for a journey,verb,from Arabic safara
musafiy,traveller,noun,from safara
safay,trip; journey,noun,from safara
safargen,citrus fruit,noun/food,from Arabic safargal; Persian origin
sifat,feature; quality; shape; form,noun,from Arabic sifa
safaita,joke,verb,from Arabic (Yemen) safat
suguda,prostrate oneself; pray,verb,Arabic sagada; Aramaic origin
asagada,fall asleep,verb,
sugud,measure for wheat,noun,from Galla suguda
sagala,sound,noun,from Cushitic
suguldum asa,doze,verb,
sigara,amble,verb,also in Galla
sagara,toilet,noun,also in Galla sagara
sagari,antelope; gazelle,noun/animal,from Somali sagaro
sigari,plaited basket serving as decoration of house,noun,
sagiya,butcher,noun,also in Galla suguyya
siga,part; share,noun,see sa'ada
sagga',brave; bold; courageous,adjective,
sagkaga,fly-swatter,noun,see sadada
sifaga,prayer mat made of skin,noun,from Arabic saggada
sahib,friend,noun,from Arabic sahib
sahima,boat,noun,from Somali sahimad
sahna,dish; plate,noun,from Arabic sahna
shaqa,laugh,verb,Semitic root
sahaq,laughter; smile,noun,from shaqa
misqa,mockery,noun,from shaqa
sahhar,magician; sorcerer,noun,from Arabic sahhar
sahir,magician; sorcerer,noun,variant of sahhar
sahhara,wooden plank,noun,from Arabic sahara meaning chest
sihata,insert by forcing; fit,verb,Ethiopic root
sika,be drunk,verb,Semitic/Ethiopic root
sikka,Harari money (in amir sikka),noun,from Arabic sikka
sakaka,string; put in a row,verb,Semitic root
sukkar,sugar,noun/food,from Arabic sukkar; Sanskrit origin
sax baya,be inert; faint,verb,Ancient Harari sajiti meaning weakness
saka,flee; run away,verb,Ethiopic root
saxi,generous,adjective,from Arabic sahiyy
saxinat,generosity; charity,noun,from saxi
saxana,shin of leg,noun/body,Ethiopic root
sixara,be drunk,verb,Semitic/Ethiopic root
astixara,intoxicate,verb,causative of sixara
suxuy,drunk,adjective,from sixara
saxarat,agony,noun,from Arabic saharat-ul-mawt
sale,kind of song requesting the girl for the dance,noun,
salo,a man who lost one or several teeth,noun,from Galla sela
silaba,castrate,verb,Semitic/Ethiopic root
sulub,eunuch,noun,from silaba
salfi,row; line of people; parade,noun,perhaps from Arabic salafa
salaha,dance,verb,perhaps from Cushitic
sillah,smooth,adjective,perhaps metathesis of hallas
slih,virtuous,adjective,from Arabic salih
salam,peace,noun,from Arabic salam
salamat,greetings,noun,from Arabic salam
sullam,ladder,noun,from Arabic sullam; Aramaic origin
selan,mat made of palm leaves,noun,Ethiopic/Cushitic
siliqqa-zo wata'a,become very thin (expression used by women),verb phrase,
salasa,Tuesday,noun,from Arabic at-talat
sulus,a third,noun,probably from Arabic tulut
taslasala,become very thin; emaciated; exhausted,verb,
silsilat,chain,noun,see sinsilat
salat,prayer; midday; twelve o'clock,noun,from Arabic salat; Aramaic origin
selat,sand; sandy region,noun,
silata,be safe,verb,Semitic/Ethiopic root
aselata,rescue,verb,causative of silata
salata,salad,noun/food,from Western language through Arabic
sallit,sesame,noun/food,from Arabic salit
salawat,intercessory prayer,noun,from Arabic salawat
slay,kind of tree of the acacia type,noun,
sim baya,be quiet; be silent,verb,from Sidamo
samti,quiet,noun,from sim baya
samtarina,quiet,adjective,from samti
sami,heaven; sky,noun,Semitic root
samawi,blue,adjective,from sami
sim,share; portion,noun,from Arabic sahm
same,my husband; my wife,noun,lit. my share
asema,sell,verb,Semitic root
sam,the owner of a butcher's shop,noun,from asema
sum,name,noun,Semitic/Ethiopic root
summa,poison,noun,from Arabic summ; Aramaic related
sama'a,hear; listen,verb,Semitic root
tasamaa,feel,verb,from sama'a
sambusa,kind of dish made with meat wrapped in flour,noun/food,from Persian through Arabic
simak,the second period of the zivat-season,noun,from Arabic as-sumak
samana,fast,verb,from Cushitic
saman,fast (n.); name of month of Ramadan,noun,from samana
siminto,cement,noun,from French ciment
simar,kind of leprosy that makes the skin white,noun,perhaps from Arabic asmay
samata,gather; accumulate; collect,verb,Ethiopic root
tesamata,gather (intr.); assemble; get together,verb,from samata
son,tooth,noun/body,Semitic root
sin,tooth,noun/body,variant of son
sena,regret,noun,from Galla sena
sinni,age; equal in age,noun,from Arabic sinn
sunna,non-obligatory prayers added to obligatory prayers,noun,from Arabic sunna
sanabi,mustard,noun/food,from Galla sanabi; Greek origin
sanad,document,noun,from Arabic sanad
sandig,box,noun,from Arabic sanduq; Indian origin
sinag,leg of animal,noun/body,
singa,castrated animal,noun,also in Galla
asnaga,put things in order,verb,Ethiopic/Cushitic
sinan,language; word; speech; conversation,noun,perhaps connected with Ge'ez
asenana,talk; speak; call someone,verb,denominative of sinan
assenana,speak with one another; talk to one another,verb,reciprocal
sonqi,provisions,noun,Ethiopic; passed into Galla
sinsilat,chain,noun,Semitic root
sinat,art; craft; profession; skill,noun,probably from Arabic sina'at
senti,penknife,noun,Ethiopic/Cushitic
sane,seed,noun,from Cushitic
asena,accompany; see off; bid farewell,verb,
sani',ironsmith; potter,noun,from Arabic (Datina) sani'
saqi,good deed,noun,
saq,small coin; money,noun,from Turkish sag through Arabic
sigo,kind of small locust,noun/animal,from Galla sigo
siqala,hang against the wall or in any other place so that it swings,verb,Ethiopic; Syriac origin
taseqala,climb,verb,connected with sagale
asseqala,carry up,verb,causative of taseqala
sigtin,filtered butter with herbs (used as medicine for headaches),noun/medicine,
asqasaqa,extract the substance of leaves; herbs or roots by boiling,verb,
sari,mountain,noun,perhaps from Somali seri meaning forest
sar,grass,noun,see sa'ar
ser,root; bottom; near,noun,Ethiopic root
sera,fenced-in or not-fenced-in meadow considered as property,noun,from Galla sera
serri,thick bread made of wheat,noun/food,connected with Ethiopic words for wheat
serri,secret,noun,from Arabic sirr
sor,food offered to a group on a special occasion; taste of food,noun/food,from Cushitic
asora,offer the sor,verb,from sor
sira,picture,noun,from Arabic sira
sira'a,put in a row; line up; arrange,verb,Semitic/Ethiopic root
sirba,calf of leg,noun/body,from Cushitic
