harari_latin,english,category,notes
gar,house,noun,from Cushitic; connected with Sem. gwr 'dwell'
gerhi,guard,noun,
gar giza,change residence,verb phrase,
gibet gar,inkpot,noun,lit. 'house of inkpot'
nigal gar,beehive,noun,
hirde gar,stable,noun,
asiy gar,higher religious education taken in the evening,noun,at house of teacher or nearby mosque
artis gar,house where newly married couple stays for first few weeks,noun,
assirarahti gar,spiderweb,noun,
hakim gar,hospital,noun,lit. 'house of the physician'
hitab gar,magician,noun,lit. 'house of the amulets'
fal gar,fortune teller,noun,lit. 'house of omen'
firdi gar,court,noun,lit. 'house of judgement'
magds gar,royal family,noun,
agara,offend,verb,in karsi agara 'offend'
gir,time; if,noun/conjunction,from Cushitic: Som. gor ger
salat gir,midday,noun,lit. 'time of prayer'
bagih gir,often,adverb,
abzah girum,most often,adverb,
is-ahad gir,sometimes,adverb,
hoot gir,twice,adverb,
ahad gir-um,never,adverb,
andsa gir,at least,adverb,
bizaha gir,at the most,adverb,
girum,even if,conjunction,
xana gir,whether,conjunction,
is-tan gir,perhaps,adverb,
ta-gir,if it is; but,conjunction,
alta girum,or else; if it is not,conjunction,
amta girux,or else,conjunction,
gir baya,thunder,verb,
gura,weft,noun,from Ethiopic root for 'left'
gora'a,slaughter,verb,also in Cushitic
migra,slaughter house,noun,place where one slaughters
grab,direction; section; area; side; toward; share,noun/preposition,from Cushitic: Som. garab 'shoulder'
gordib aka,win over to one's side,verb phrase,
gordib aginia,get a share,verb phrase,
garabe-dale,for my part; from my side,adverb,
garabad,about,preposition,
gariban garib,system of division of farmland between owner and tenant,noun,
garaba,non-tender leaves of qat not used for chewing,noun,from Ga. garaba; given to goats
garabac,about,preposition,pl. of garab
garbari,entrance or door of the house,noun,
garabat,house and yard,noun,
gurbat,saddle-like sac made of leather placed on donkey's back,noun,from Ga. gurbota; has two pockets
gurug,gulp,noun,
gurug baya,gulp,verb,
garad,tribal chief (lower than damin),noun,from Cushitic
garada,take a portion; separate; distinguish; draw a curtain,verb,
agarada,observe; see well,verb,denominative
gurade,kind of curved sword,noun,probably from Ar. (Aden) gurad
girdfa,lash,noun,
gurage miz,banana-like plant,noun,lit. 'the banana of the Gurage'
gargdb baya,turn the face in half circle,verb,
gargab asa,reverse,verb,
gir gargab baya,turn around,verb phrase,
giragaba,return (intr.); become again,verb,
tagragaba,come and go frequently; be repeated,verb,
algragaba,make return; repeat,verb,
argagaba,answer; return (tr.); give back,verb,form with metathesis
gurgub,opposite,adjective/adverb,
gurgubti,opposite,adjective/adverb,
gargora,leopard,noun,from Somali (Isaq) garo 'checkered streaked'
girgara,help,noun,from Cushitic: Ga. gargaru Som. gargar
girgara asa,help; assist; aid,verb,
girgir baya,be noisy; be unsettled (country),verb,Sem. Ar. gargara 'shout'
girgira,conser of clay,noun,from Ga. girgira
gurgurti,rumor,noun,
gurum gurum baya,grumble; groan,verb,
gurumti,groan; rumor,noun,
gurum zar,grumbling person,noun,lit. 'grumbling spirit'
gurannit,ostrich,noun,from Cushitic: Somali gorayo
gurur baya,roar (animal); rumble (thunder); it thunders,verb,
grasa,put a mouthful into the mouth of someone else,verb,done during wedding week
gartira,fir,noun,from Ga. gattira 'juniper tree'
gariza,plait,verb,
guruz,hairdress of unmarried girls,noun,
guruz inay,woman hairdresser (for girls),noun,
gesa,show respect to a saint,verb,from Ga. gesa 'recitation'
gessi,bravo!,exclamation,probably from Som. gesi 'courageous hero'
gis baya,be fed up,verb,
gos,barley,noun,connected with G. sagam
agastisa,cause to dislike,verb,
gissat,the fact of being bad,noun,
yagassi,bad; malicious; evil; wicked,adjective,
gisti,mistress of the house; lady; queen,noun,perhaps for *giz-ti
gastan,rheumatism,noun,from Ga. gestamo
gesso,kind of plant used in preparation of beer,noun,Amh. geso
gis,tomorrow,noun,
gis bihar-le,any day after tomorrow,noun phrase,
gis yam,future life,noun,
gistar,the next day,noun,
gos,buffalo,noun,also in Cushitic
gista,kind of plum,noun,from Ga. bista gista
gistai,the next day,noun,
gistai-zo,the next day,adverb,
gutti,middle,noun,
horot gutti,center; middle,noun,lit. 'the middle of two'
gutta,metal ring attached to bottom of stick to keep from wearing out,noun,
gawwa,fool,noun,from Cushitic: Ga. gawwa
gayya,smoking pipe; cigarette,noun,from Cushitic: Ga. gayya
gayya qulu,gourd of smoking pipe,noun,
gayya matata,smoke a pipe,verb phrase,
guyat,bone of the thigh,noun,
goyta,Lord,noun,Tna. gayta 'master'
bari goyta,who is in charge of gates of the city,noun,lit. 'master of the gate'
gaz,battle; raid; military expedition,noun,probably from Ar. gaza
gaz leta,raid,verb,lit. 'go on a raid'
gaz,caravan,noun,from root gz 'change camp'
gaz,kerosene,noun,from French gaz or Italian gas
gaza,change residence,verb,
agaza,displace things from one place to another,verb,
goz baya,plead for forgiveness; ask someone to take action,verb,
giz,mutual help in agricultural work,noun,from Ga. guza
giz wala,participate in mutual agricultural work,verb phrase,
gaza'a,govern; own; possess,verb,
haraq gaza'a,make friends,verb phrase,
gizi' asa,belch,verb,Sem. Ar. fasaa
guzguz asa,spread grass,verb,
guzima,wish; hope; covet; have the intention,verb,
gizman,wish; hope,noun,
gazan,mistress,noun,
galat,error,noun,from Ar. galat
galat asa,err,verb,
garib,stranger,noun,from Ar. garib
garbi,west,noun,from Ar. garb
gazal,gazelle,noun,from Ar. gazal
gabha,the first period of the ganna-season,noun,from Ar. gabha
gubna,cheese,noun,from Ar. gubna
gabar,middleland,noun,in gala gabar
gabri asa,compensate,verb,from Ar. fabara 'restore'
gidar,thickness of wall,noun,from Ar. gidar 'wall'
gugal,wall of city,noun,Amh. gag 'fence'
gaggabi,kind of yellow earth for roof to prevent water seeping,noun,from Ga. gaggaba
giha,direction; side,noun,from Ar. fiha
gih,deep red,adjective,
gih xana,become red in the face,verb phrase,
gahgah baya,become lively (place) because of abundance of people,verb,onomatopoetic
gahla,pot made of clay serving for water,noun,from Ar. gahla
gux,woolen cloth,noun,from Ar. gub from Turkish fuxa
gallo,bent; not straight; crooked,adjective,from Cushitic: Ga. gallo Som. gallo
gallo asa,curve,verb,
gale,beloved (fem.),adjective,from Ga. fale
galaba,cattle market,noun,from Ar. gallab 'trader'
guma,Friday; the biggest mosque of Harar,noun,variant of gum'a
guma ayam,Friday,noun,
guma may,Friday,noun,
guma mihallag,money children receive from parents on Friday,noun,lit. 'money of Friday'
gum'a,Friday,noun,from Ar. gum'a
gimla,wholesale,noun,from Ar. gumla
gama,snuff,noun,Amh. gamali
gamali,male organ of child,noun,also in Ga. gamali
gumruk,customhouse,noun,from Ar. gumrug Turkish gimruk from Greek Latin commercium
gin,spirits,noun,from Ar. ginn 'spirit'
gin daf,whirlwind,noun,
ginam,mad,adjective,from gin 'spirit' with Harari ending -am
ginam xana,be mad,verb phrase,
ginadiz,corpse,noun,from Ar. ginadiz pl. of ginaza
ginab,south,noun,from Ar. ganub
ginsi,kind,noun,from Ar. gins
gannat,Paradise,noun,from Ar. ganna
goniya,sack for grain,noun,from Ar. (Datina) ganiya of Hindustani origin
ginayiz amira,bird of prey,noun,lit. 'bird of prey of corpses'
ganaza,corpse,noun,
girab,leather bag for qat,noun,from Ar. girab
giraf,long whip,noun,
gasis,spy,noun,from Ar. gasus
gaw,meat,noun,also in Argobba of Harar gaw
gawab,answer; letter,noun,from Ar. gawab
gawab asa,to answer; reply,verb,
gawwisa,unruly,adjective,from Ar. al-gawwas 'lion'
gay,the dry season (December 24 to March 23),noun,from Cushitic
guz,section of the Koran,noun,from Ar. guz 'part'
gaza,gratitude; compensation; recompense,noun,from Ar. gaza 'reward'
guzim,leprosy,noun,from Ar. gudam
huwa kut,such a man,pronoun phrase,from Ar. huwa 'he'
ha,what? (asking to repeat something),interrogative,
habi,work; occupation; matter; duty,noun,G. tahabiyd 'take care of something'
habi qalil,idle,adjective,lit. 'light of work'
zalhabi,unusual,adjective,
adihabi,idle,adjective,
habu,marrow,noun,also in Cushitic
habab baya,blow (wind),verb,perhaps from Ar. habba
hubab,serpent; snake,noun,Sem. Ar. hubab
hubab soldi,kind of caterpillar,noun,lit. 'shaver of the serpent'
gidiy hubab,python,noun,lit. 'large snake'
hibabila,coax; entice,verb,G. habia 'act corruptly or viciously'
habal,so-and-so,pronoun,from Cushitic: Ga. abalu Som. habel
hoblabdl,hypocrite,noun,derived from hibabala 'deceive entice'
hablal,hurricane,noun,
habaga,dissolve by mixing with liquids,verb,
hubug asa,give a strong smell,verb,
habar,curse,noun,from Cushitic: Som. habar 'curse'
habar asa,curse,verb,
habari,blossom,noun,
habari asa,bloom,verb,
athebara,ask,verb,from Ar. habara 'know' istabbara 'ask'
habita,swell,verb,Sem. Ar. habita 'have a swollen stomach'
hubut,swelling,noun,
hubut xana,be swollen,verb phrase,
haca,feel pain,verb,
tahaca,feel sorry for someone; sympathise,verb,
higna,pain; ache,noun,
higna tasamara,feel pain,verb phrase,
hagi,back of the body,noun,from Sem. Ar. hagw 'waist'
igi hagi,back of the hand,noun,
hagi qof,bare-backed,adjective,
hagi-be tora,carry on the back,verb phrase,
hagi-le hagi sie'a,lie on the back,verb phrase,
hagi fir,go away,verb phrase,lit. 'show the back'
hagir,short,adjective,from Ethiopic root hsr 'be short'
hade,kind of flower,noun,Amh. aday 'kind of daisy' from Ga. hiddi
hadi,menses,noun,from Ar. hayd
hadaga,abandon; leave,verb,G. haddgi
hadara,spend the night; live,verb,Sem. Heb. heder 'interior'
qatira hadara,spend the night without sleep,verb phrase,
athadara,support,verb,
gar athadara,support a family,verb phrase,
athidadira,administer,verb,
gil hadara,as time passes; gradually,adverb phrase,
mihdar,spending the night; livelihood,noun,
haddar,stale,adjective,from Ga. hadday 'from preceding year'
hadiyya,gift,noun,from Ar. hadiyya
haf baya,rise; start off; stand up; get up; be high; become rich,verb,
haf faya,rise; start off; stand up; get up; be high; become rich,verb,variant of haf baya
haf asa,raise; lift; steal,verb,
hafhaf asa,arouse,verb,reduplicated haf
haf,high; raised; elevated,adjective,
hafa,long for; yearn,verb,from Cushitic: Ga. hafu 'await'
hifat,longing,noun,
hiffiti,viper,noun,
hafuga,embrace; brood,verb,Sem. Heb. hbq
hifgi-be tora,carry on the hips,verb phrase,
hafaiga,scrape,verb,metathesis of fahaga
hafarsa asa,fan the fire with a fan,verb,from Ga. hafarsu
hafusa,take something with hands or instrument; draw water,verb,G. hafasi 'gather'
hufus,contents of both hands,noun,
hafis,thick liquid,noun,Te. hafas 'thick liquid'
haftu,girl who passed marriageable age and no man wants to marry,noun,from Ga. haftu 'old maid'
hafzi asa,memorize; recite by heart,verb,from Ar. hifz
haga,quantity of cloth for a gown,noun,
hagama,cup (v.),verb,from Ar. hagama
hagana,replace; compensate,verb,
hagana,replacement,noun,
haga,pierce; prick,verb,
tahaga,be pierced,verb,
haga,need; affair,noun,from Ar. haga
haga asa,need,verb,
haga faga,accomplish the needs,verb phrase,
