harari_latin,english,category,notes
didgal,male cat without owner roaming in the neighborhood and eating up everything,noun,animal; from Cushitic
didih,gum,noun,
dddama,be blunt (point or edge),verb,
dudum,blunt,adjective,
ddddqa,level off by pressing down or compress,verb,
tdiddiiga,be pressed or be squeezed,verb,passive
duddug xana,be compressed,verb,
daf,small drum or tambourine,noun,musical instrument; from Arabic daff
dif,wind,noun,nature
din dif,whirlwind,noun,lit. wind of spirit
gidin dif,misfortune,noun,lit. thin wind
dif agdiew,be affected by an evil spirit,verb,lit. the wind got him
dif esiiba,let the air through,verb,lit. introduce the air
dafdaf baya,rummage,verb,
dafana,block up the opening of a bottle or of a container,verb,
dufan,bed,noun,furniture
duffun,whole or a single whole,adjective,
duffun-co zal,naive,adjective,lit. who is in his fullness
duffun quiw,naive,adjective,lit. a whole gourd
dagu-be,suddenly or by accident,adverb,
dag,elevated ground or phase or stage,noun,
dag mawrdd,descent,noun,lit. the descending of the dag
dug baya,not be on speaking terms,verb,used by children
dug xana,not be on speaking terms,verb,used by children
dig,blister,noun,body
dig xana,have blisters or become numb,verb,
daiga?,mistake,noun,
diga?-be,by mistake or unintentionally,adverb,
diga? da,read or recite making mistakes,verb,
diga? attaSu,come face to face unexpectedly,verb,
digad,humidity of the wall,noun,
digadag,wall,noun,building
dugdug aSa,push someone repeatedly with the fingers so as to provoke him,verb,
digalo,kind of parasitic plant,noun,plant; from Galla
dagiin aa,review a lesson,verb,education
digin,bow for carding wool,noun,tool
tddgana,be bent,verb,
adogeina,bend,verb,causative
dugun,bent,adjective,
dignina sta,warn or hint at,verb,from Somali dignin
adagaisa,make the ink concentrated by adding myrrh,verb,
dagi-wi wddagi,friend,noun,
diga,come,verb,
adiga,bring,verb,causative
addaga,have the time for doing something or be in a position to do something,verb,
yidigeal xamis,next Thursday,noun,lit. the Thursday that will come
yi-be zidifa,as a result of this,phrase,lit. that what comes from it
dikka,roof,noun,building
dikka wagar,the part of the roof extending above the roof level thus forming a frame for the roof,noun,lit. the olive tree used for the roof
dukkan,shop,noun,building; from Arabic
harir dukkan,shop for ladies clothes,noun,lit. shop for silk
dukkan waddlla,trader or merchant,noun,lit. the young man of the shop
dukkan wanddg,servant hired for the shop,noun,
dax Sa,hit on the head with a stick or stone and draw blood,verb,
ddxa,dizziness,noun,health
duxuliya,income,noun,finance; from Arabic
doxon,elephant,noun,animal; from Cushitic
-dile,to or toward or from,preposition,
ustu-dale,from the inside,preposition,
garaibe-dale,from my part,preposition,
dil,victory,noun,
dol,victory,noun,variant of dil
dol aSa,be victorious,verb,
dal xana,lose in battle,verb,
ddlo,amputated,adjective,
dulla,whip made of twisted rope or grass or cloth,noun,tool
dulla ig,opportunist,noun,lit. who looks at the whip
dulla wasfi,awl without hole in the middle serving to make holes in leather for stitching purposes,noun,tool
dilidala,level off,verb,
dildila,bridge,noun,infrastructure
duldula mit,basket placed on the right wall,noun,container
dalaga,work or prepare or cultivate the land,verb,
daliiga-,be tired,verb,
liga-b-,use is made of,verb,
yagessi daliiga,act to the detriment of someone,verb,
dilaga,occupation or deed or action or work,noun,
dilaga aw,boss,noun,lit. the proprietor of the job
dilaga qalil,idle,adjective,
dilgot,fatigue,noun,
dallagi,worker,noun,occupation
al-dallagi,idle,adjective,lit. the not-working one
addaldga,make work,verb,causative
dalaha,sin or err or go astray or miss the way,verb,
dilhi,delict or sin,noun,
dallapi,sinner,noun,
addalaha,attack repeatedly,verb,
ain-be addalaha,throw stones repeatedly at someone,verb,
dallal,small trader or retailer or broker,noun,occupation; from Arabic
quani dallal,retailer who walks around with the goods without having a special place,noun,lit. retailer of standing
dallal aSa,practice small trade,verb,
dillalnat,quality of retailer or profession of retailer,noun,
dalil,evidence,noun,from Arabic
dulalu,round,adjective,
dalama,mistreat,verb,from Arabic
dilliq aSa,hit violently and produce sound,verb,
hatvabu dilliq aSa,hit the drum,verb,
dalasa-,hurry,verb,
dalaw,hunter,noun,occupation
dam,blood,noun,body
dam mahtab,light rain coming after the arafa-feast,noun,lit. the washing of the blood
goto gir dam ziywita?,miser,adjective,lit. even if one cuts him blood does not come out
dama,brown or of dark color (man),adjective,color
dami dis,honey produced by wild bees,noun,food
ddma,pick,noun,tool; from Galla
dambdba,vivacity or liveliness,noun,
dimbag,fright,noun,emotion
dumug,fist,noun,body
dumug-be mahata,give a blow with the fist,verb,
damfa,bragging,noun,
damfa aga,brag while in anger,verb,
dumel,the young male relatives and friends of the husband in relation to the wife,noun,kinship
damin,guarantor or tribal chief,noun,from Arabic
dalan,dish made of honey butter and sesame oil,noun,food
dammaqa,be beautiful or be pretty,verb,
damaga,become lively (as in a party),verb,
