harari_latin,english,category,notes
balala,get spoiled,verb,
abeldla,spoil; waste,verb,causative
(te)balala,hurry; be in a hurry,verb,
bilala,china cups used for tea,noun,perhaps from *bilara or *birala
balla,appointment,noun,from Cushitic
ballema aa,give an appointment,verb phrase,
biliss,who is not a slave,noun,from Cushitic Ga. bilis
bolis,police,noun,from English police
balas,worthless,adjective,from spoken Arabic
balas-be,in vain; gratis; for nothing,adverb,
atbalasa,spoil,verb,
(is)balat,different; separate,adjective,
belit,temple (part of face),noun,body part
bilata,cheat; be cunning; fool,verb,
bilto,cunning; shrewd,adjective,
billowri,prisms for decoration,noun,
baliyya,misfortune,noun,from Arabic
-bilay,without; except; unless,preposition,
bum baya,explode,verb,onomatopoetic
bimbe,mosquito causing malaria; malaria,noun,from Cushitic
bomba,water pipe,noun,from Western language through Arabic
bomba mi,running water in the house,noun phrase,
bombay,kind of woman's dress,noun,clothing; from city of Bombay
bani Adam,mankind,noun,from Arabic
bon,tanner,noun,occupation; from Somali
bun,coffee,noun,food/drink; from Arabic bunn
qul bun,roasted coffee with butter used for religious purposes,noun phrase,food
bun firi,coffee grain,noun phrase,food
bun gahwa,coffee made from the bean,noun phrase,food/drink
bun raxrax,coffee grounds,noun phrase,food
bun vixvax,coffee grounds,noun phrase,food
bun vogi,middle finger,noun phrase,body part; lit. thief of coffee
bun moqag,mortar for coffee,noun phrase,tool
bun gamaha,take a mouthful of roasted coffee grain,verb phrase,
bunni,who is of coffee color,adjective,color; from Arabic
bandar,city,noun,from Arabic/Persian
bandaynat,quality of city,noun,
bandira,flag,noun,from Italian bandiera
bindna,be sprinkled,verb,
abenena,sprinkle with salt; pepper; etc.,verb,causative
binin asa,sprinkle with salt; pepper; etc.,verb phrase,
banana,width of finger,noun,measurement; from Arabic
bannan,builder,noun,occupation; from Arabic
buntur,marble-sized dough of wheat flour fried and dipped in honey,noun,food
binaya,structure; building,noun,from Arabic
butino-be mahata,box someone,verb phrase,lit. hit with the fist; from Italian pugno
bubiti asa,scatter,verb,
baq,chaff,noun,from Galla
baga,be enough; suffice,verb,
tabaga,be satisfied with something; be limited,verb,
abuga,terminate; stop doing something,verb,lit. consider as sufficient
buga leta,be evacuated in war time,verb phrase,lit. he went into refuge/flight
boq baya,appear suddenly,verb,
biq,sudden appearance,noun,
buq,thin kind of bamboo; bride's quarters; butchery,noun,
biq qalam,bamboo serving for writing,noun phrase,tool
baqad,ago,adverb,time
baql,mule,noun,animal
baqila,flourish; sprout; grow,verb,
abegala,make grow; plant,verb,causative
baqal,germinated grain,noun,
biqela,bean,noun,food
baqla,hundred,numeral,number
baqla,kind of nazifa-shawl given to the bridegroom by bride's father,noun,clothing
barra-,form of greeting (how are you?) for any time of day,interjection,greeting
biri,entrance or door leading to compound or house; gate of city,noun,
barano,newly wed bride and bridegroom from one week to few years after wedding,noun,from Cushitic
