harari_latin,english,category,notes
setra,split along the grain into splinters,verb,
setava,line across a page; a split along the grain,noun,
siitva,crack; split,noun,
swab,reward given by God for good deeds,noun,from Arabic tawab
suwak,tooth scraper made of the root or of the stem of certain plants,noun,from Arabic siwak
suwak asa,brush the teeth,verb phrase,
irswarwar,burning sun,noun,
say,kind of game,noun,
say,plenty; prosperity; abundance,noun,from Arabic say
saydabal,two men who marry two sisters in relation to one another,noun,
sayyaq,jeweler,noun,from Arabic sayyag
saysamat,the year before last,noun,lit. the third year ago
saza,early morning (after subhi); in the morning,noun,
saza vifada,late in the morning,adverb phrase,
sii,thing,noun,from Arabic say
ahadsii,something; anything; nothing (with negative verb),pronoun,
sisti,three,numeral,
sistah,third,ordinal,
sibo,wire,noun,
sibo wanfit,gauze wire,noun phrase,lit. filter of wire
sabak,net,noun,from Arabic sabak
sabbak kaloyta,knitted cap,noun phrase,
subbax,window,noun,from Arabic subbak
sibat,gray hair,noun,
sibaitam,who has gray hair,adjective,
sibiaitim xana,have gray hair,verb phrase,
sadaifam,uncircumcised,adjective,used as abuse
sadar,black dress of women worn when they go out veiled,noun,from Persian cadar
safta,brigand; rebel,noun,
safta xana,rebel,verb,
softi,chicken pox,noun,
saggar,brave,adjective,from Arabic sajas
sahada,profession of faith,noun,from Arabic sahada
sahada lahada,say the profession of faith,verb phrase,
sahid,witness,noun,from Arabic sahid
sahi,tea,noun,of Chinese origin
suhum,grain boiled in water,noun,food
sukhmudud bya,slide,verb,
sahan,ray,noun,used with iy (sun)
suhhun,dense,adjective,from Arabic sahana
sihsara,sand,noun,
sahat,urine,noun,
sahat asa,urinate,verb phrase,
sakki,doubt,noun,from Arabic sakk
sakki asa,doubt; suspect,verb phrase,
sikif baya,take a seat,verb phrase,from Galla
sakir,grateful,adjective,from Arabic sakir
sukri,gratitude,noun,from Arabic sukr
sox,cactus,noun,used in tin sox
saxax baya,make a rustling or hissing sound,verb phrase,onomatopoetic
suxsux baya,whisper,verb phrase,onomatopoetic
saxita,become mouldy; be musty,verb,
salada,shave,verb,
salda,razor with handle,noun,
ge salda,razor made locally,noun phrase,lit. razor of the city
hubab sldi,kind of caterpillar,noun,
salalu,paralysis,noun,
salalu wana,be paralyzed,verb phrase,
sisti silal,kind of woman's dress in three colors,noun phrase,
salama,decorate; adorn; reward,verb,
taslaIema,beautify oneself,verb,
silim sa,take a nap,verb phrase,
silmi,tick,noun,insect
samma,toga,noun,from Amharic
sama,candle,noun,from Arabic sam
arab sama,imported candle,noun phrase,
sum,chief,noun,
summat,function,noun,
sumbura,chick-peas,noun,food
sumbut,protruded nose,noun,archaic expression
sumnit,function,noun,abstract form of sum
samaqa,hide,verb,transitive
tasemaqa,hide,verb,intransitive
summugti-be,secretly; in hiding,adverb,
simqiq baya,be sprained; be displaced (muscles),verb phrase,
samsiya,parasol; umbrella,noun,from Arabic samsiya
samiz,shirt reaching below the waist,noun,from French chemise
san,groin,noun,body part
sundud,kind of necklace,noun,
sango,assembly; group of people,noun,
sango ila,sit in a group and chat,verb phrase,
sankor,sweet taste of sugar cane,noun,used as endearment
sankore,my sweet sugar cane,noun phrase,term of endearment
sonkurta,onion,noun,food; of Greek origin
sanxat,armband of horn,noun,
sindiq,palate,noun,body part
santa,bald on the front sides,adjective,
sinti,fillet,noun,
sinawi,kind of woman's black dress worn over the ordinary dress,noun,
asana,accompany; see off; bid farewell,verb,
sanit,ironsmith; potter,noun,
suqli,work,noun,from Arabic sugl
suqliivaz,apron,noun,lit. work cloth
siqaq,a cold,noun,illness
saqat,grocery,noun,
saqat dukkan,grocery store,noun phrase,
sarri,vice,noun,from Arabic sarr
sara,canvass; tent (of canvass),noun,from Arabic sira
sara,abolish; dismiss; demote,verb,
sir baya,go around in a circle; be in a circle; surround,verb phrase,
sir gargab baya,turn around,verb phrase,
sirti,surrounding; surrounding area; circumference,noun,
sirti-be,around,adverb,
sirti-zo-be,all around it,adverb phrase,
siva,valley having water in abundance; depression,noun,
sir,porridge made of flour boiled in water,noun,food
sari,Moslem law,noun,from Arabic sari'a
saria,Moslem law,noun,from Arabic sari'a
sra,business transaction,noun,used with beyi; from Arabic sira
sarib,whiskers,noun,from Arabic sarib
surrab,knit cloth,noun,from Turkish/Persian via Arabic
igir surrab,socks,noun phrase,
surbo,thick soup (often without meat),noun,food; from Arabic surba
saraf sa,change money,verb phrase,
sarafa,chip; break the edges,verb,
tasarafa,be chipped (tooth),verb,
suruf,a person who has defects,noun,
surufan suruf,all chipped,adjective phrase,
sarfo,kind of game with pebbles,noun,
sarif,descendant of the prophet Mohammed; honored person,noun,from Arabic sarif
sarik,partner,noun,from Arabic sarik
sarik xana,be a partner,verb phrase,
sarmitta,prostitute,noun,from Arabic sarmita
sarqi,east,noun,from Arabic sarq
sirsir baya,take a walk,verb phrase,
sirsir,walk,noun,
sarti,bet,noun,from Arabic sart
sas,muslin,noun,from Arabic sas
sisow asa,become sick of the sasow-disease,verb phrase,disease in baby
sit,kind of cloth,noun,from Persian cit
sot,the young female relatives of the husband in relation to the wife,noun,kinship term
sotal,straight dagger,noun,
satat baya,go downwards,verb phrase,
satat sa,pull downwards,verb phrase,
sat sa,whip; strike in a straight line,verb phrase,
satir,clever,adjective,from Arabic satir
satara,cleverness,noun,from Arabic satara
sawla,the seventh period of the zirat-season,noun,from Arabic sawl
suwa,name of month,noun,from Arabic sawwal
assawira,administer; busy oneself with housework,verb,from Arabic aswara
say,freed female slave taken as wife by the owner,noun,
saytan,devil; spirits,noun,from Arabic saytan
ta,he is; it is,copula,
ta gir,if it is; however; but,conjunction,
tii,heart as seat of courage; courage,noun,
taab,misery; trouble; difficult,noun,from Arabic ta'ab
taab xana,become tired,verb phrase,
taab asa,annoy; upset; cause trouble; tire; be difficult,verb phrase,
talim,education,noun,from Arabic ta'lim
tina,yesterday,adverb,
tarix,calendar,noun,from Arabic ta'rix
taziya,consolation,noun,from Arabic ta'ziya
taziya hara,console the relatives of the dead,verb phrase,lit. go for the comfort
taziya tagaba,mourn,verb phrase,lit. sit for consolation
tab,misery; trouble,noun,variant of taab
tibarru,contributions given to welfare organizations,noun,from Arabic tabarru
tbat,repentance,noun,from Arabic tawba
tagona,yesterday; the day before,adverb,
tifa,light rain either at the beginning or at the end of a heavy rain,noun,
tifatifa asa,drizzle,verb,
tuf baya,spit,verb phrase,
tufti,saliva; power of healing,noun,
tuffah,apple,noun,food; from Arabic tuffah
tguig,jar made of cow dung serving to store grain,noun,from Galla
tgun,curtain; shelter,noun,
tgun asa,to curtain off,verb phrase,
tagir,if it is; but; however,conjunction,
tgir,rich; wealthy,adjective,from Arabic tajir
tigara,trade; commerce,noun,
tigara asa,practice trade,verb phrase,
tuggay,rich; wealthy,adjective,
tahlil,a prescription written on a plate by an amulet writer; dissolved in water and drunk as medicine,noun,from Arabic tahlil
tahara,end up; be later; come later,verb,
atahara,delay; stay behind; postpone,verb,
tahay,down; under; beneath; lower,adverb,
kim tahay,downwards,adverb phrase,
hil tahay,slope downwards,adverb phrase,
takambari,gate of compound,noun,metathesis of katambari
tax,strength; power,noun,
taxal,with; together with,preposition,
taxal bah,with; together with,preposition phrase,
tuxun,bug,noun,insect
taxasa,press or squeeze down to make room for more objects; stuff; stuff in,verb,
toxus,stocky and short (man),adjective,lit. pressed down
tullu,hill; hunch,noun,from Galla
tullu halba,hunchbacked,adjective phrase,lit. he has a hunch
tulut,worm,noun,
tulkuf baya,be pressed down; become depressed (physically),verb phrase,
attalala,deceive; cheat,verb,
attalay,cunning,adjective,
tulim,fish,noun,animal
tilmiz,student,noun,from Arabic tilmid
tilis,slow; lingering; careless,adjective,
tilis asa,delay; neglect,verb phrase,
tilis xana,be careless; work slackly,verb phrase,
talisam,careless,adjective,
tilawa,group reading of the Koran,noun,from Arabic tilawa
tumma,garlic,noun,food; from Arabic tum
timbaxo,tobacco,noun,from Persian tanbakia
tumalasa,he-goat,noun,animal; from Galla
temfas,breath,noun,
qar timfas asa,pant,verb phrase,
gudor tomfas asa,moan; sigh,verb phrase,lit. bring out a long breath
tamam-um,all,adjective,from Arabic tamam
tamam-be,completely,adverb,
tamam,whole,adjective,from Arabic tamam
tamanin,eighty,numeral,from Arabic tamanin
timir,palm tree,noun,plant; from Arabic tamr
timir lafu,date tree,noun phrase,
tumtu,ironsmith,noun,from Cushitic
timatim,tomatoes,noun,food; from Aztec via Arabic
tan,smoke,noun,
tanna,with,preposition,
tin,fruit of cactus,noun,food; from Arabic tin (fig)
tin ox,cactus,noun phrase,lit. thorn of euphorbia
tandalala,be round,verb,
tanfas,breath,noun,from Semitic root nfs
tanfas asa,breathe; take a rest,verb phrase,
tanfas asaba,inhale,verb phrase,
tanaka,container made of tin (often used for drawing water),noun,from Arabic tanak; Turkish origin
tandna,smoke,verb,
tan,smoke,noun,
tiir baya,cough because of food that got into the windpipe,verb phrase,
taqariga xana-b-,be short of something,verb phrase,
tara,area; section,noun,
taraa,swear; take an oath,verb,
tirot,oath,noun,
matra,oath,noun,
taradi,consent,noun,from Arabic taradi
tarafa,remain; be in excess,verb,
atarafa,spare; gain,verb,
tirfi gay,spare house,noun phrase,
turguman,interpreter,noun,from Arabic turguman
trik,electricity,noun,from French electrique
turunga,citron,noun,food; from Arabic/Persian
tartib,arrangement,noun,from Arabic tartib
atratara,shake the grain on the afuftu-plate to separate it from sand or to separate the finely ground flour from the unground,verb,
tirtirat,the stitched part of cloth,noun,
tarawih,prayers in the evening of Ramadan,noun,from Arabic salat at-tarawih
tas baya,be pleased; be glad; be content; rejoice; cheer up; be happy,verb phrase,
tas alaya,feel displeased,verb phrase,
tas asa,cause pleasure,verb phrase,
tas attasa,do a favor,verb phrase,
tastas,joyful,adjective,
tasti,happiness; joy; good news,noun,
tasti qabaja,be displeased,verb phrase,
hambay-le tas bayax,congratulation!,interjection,lit. fortunately that you are pleased
tisin,ninety,numeral,from Arabic tis'in
tasbih,rosary,noun,from Arabic tasbih
tustus baya,make a hissing noise,verb phrase,onomatopoetic
tisabeha asa,distract by noise; disturb by noise,verb phrase,from Arabic
tasriq,the three days of arifa,noun,from Arabic
tatat baya,make an effort; be eager,verb phrase,
tawbat,repentance,noun,variant of tbat
tawhid,teaching about the unity of God,noun,from Arabic tawhid
tatawaqa,be known,verb,
taya,section of a locality; neighborhood,noun,from Galla
to baya,pop up,verb phrase,onomatopoetic
to baya-ma baka,burst into tears,verb phrase,
fia,obedience,noun,from Arabic ta'a
taana,load,verb,
tana,load,verb,variant of ta'ana
tena,load,verb,variant of ta'ana
twun,load; burden,noun,
tan,quintal,noun,
tab baya,be ready,verb phrase,from Cushitic
tab sa,prepare; repair; arrange,verb phrase,
tabtab asa,prepare,verb phrase,
taba,suck,verb,
taba,voice; noise; sound,noun,from Cushitic
tub,brick,noun,from Arabic tub
tabi,seal,noun,from Arabic tabi
tabi asa,seal,verb phrase,
taba,character,noun,from Arabic tabi'a
tababa,be narrow,verb,
tababu,narrow,adjective,
tabi,narrow,adjective,
tabiha,skin an animal,verb,
tabaga,be tight; be difficult; be strict; become strengthened,verb,
atabaga,tighten; take hold of something tenaciously; take care of something for someone,verb,
harsi atabaga,be cruel,verb phrase,lit. tighten the belly
ganun atabaga,enforce the regulations,verb phrase,
tajabaga,glue,verb,intransitive
atabiga,make stick,verb,
tabiq,tight; difficult; strong; strict,adjective,
urus tabiq,obstinate; stubborn,adjective phrase,
tubbug baya,stick close together; glue,verb phrase,intransitive
tabaqat,hardship,noun,
tubbuqgo,kind of shirt worn by the Qottu-Galla,noun,
