harari_latin,english,category,notes
qalbi,heart,noun,from Arabic qalb
qilbi qiwwa,courage,noun,lit. strength of heart
qilbi talila,pure-hearted,adjective,
qibi safi,pure-hearted,adjective,
ruha qilbi xana,be mad,verb,lit. be soul and heart
qalbi aSa,pay attention; consider attentively; cast the evil eye,verb,
qalba,the sixth period of the zivat-season,noun,from Arabic al-qalb
qalbo,game of jacks played by girls,noun,from Amharic qallabo
qilba,north,noun,metathesis of qibla
qalbis,collar,noun,from Amharic qalabbasa
qallicca,who lives in the mosque and devotes his life to learning,noun,
qalacac,children,noun,
qalad,strap; strip of leather,noun,perhaps from Arabic qilda
qulfi,button,noun,from Ethiopic root qlf meaning close or lock
qulufa siba,entangle the feet of a person or of cattle to make it fall,verb,perhaps from Amharic qulallafa
qalah,cartridge after the bullet has been fired,noun,
qalah baya,spend some time; be late; linger; delay,verb,
qildla,be thin (object),verb,
aqaldla,make thin,verb,causative
qalil,without (after a noun),adjective,from Arabic qalil
qulullu,shaved (girl's head),adjective,from Galla qulullu
qililiyu,sound of bell; small bell,noun,from Galla qililiyu
qililiyu aSa,ring the bell,verb,
qalam,reed; writing reed,noun,from Arabic qalam
dibeta qalam,writing utensils,noun,lit. ink and writing reed
big qalam,bamboo serving for writing,noun,
ufti qalam,bamboo serving to revive fire by blowing through it,noun,
qalim micisbey,a social occasion celebrated on the completion of the study of the Koran,noun,lit. the breaking of the reed
qalame,monkey,noun,see qamale
qullan,nape of the neck near the hair,noun,probably from Cushitic
qollingi,constipation,noun,from Arabic qalang (colic)
aqlaqala,purge,verb,probably metathesis of root qlq
taqlaqla,be mixed together; be intermingled,verb,
qalqallo,leather bag,noun,from Galla qalqallo
qilgay,liquid excrement caused by dysentery,noun,
qilgayam,coward,noun,lit. who has diarrhea
qals,drinking cup of metal (taller than battaqo),noun,from English glass through Somali
qillata,as if,conjunction,
qialita,try to have a good or proud appearance,verb,
qialiti,proud; who has a proud appearance,adjective,
qultam,leg,noun,
qam,body; member of the body,noun,probably from Arabic qama (stature)
qam aSa,put on weight and height,verb,
qamabiser ali,blood relatives,noun,lit. relatives of body and flesh
sat al-qam,the whole body,noun,
qima,cost; price,noun,from Arabic qima
qima aSa,estimate; evaluate,verb,
qum baya,peck,verb,
qumqum baya,peck,verb,
qumbursi,white worm in the dung,noun,from Galla qumbursi
qimbisti,small flint,noun,
qumira,squat,verb,
qimir baya,wrinkle,verb,
taqmattara,wrinkle,verb,
fisso qimir aSa,frown,verb,lit. wrinkle the face up
qimiray,a wrinkle,noun,
qamadi,wheat,noun,from Cushitic
qimaha,take a mouthful,verb,
cat qamaha,take qat,verb,
bun qamaha,take a mouthful of roasted coffee grain,verb,
qamale,monkey,noun,from Cushitic Galla qamale
qammana,the fact of being sour; sourness,noun,from Galla qammana
qumanna,man who has the power of casting the evil eye,noun,also in Galla
qumqum,pecking,noun,
qamir,cartridge pouch,noun,from Arabic kamar (belt)
qimir aSa,eat raw cereal,verb,from Galla qimira
qimira,hair growing in compact clusters resembling beans,noun,
qumar,gambling,noun,from Arabic qimar
qamis,shirt of men and women reaching the knees,noun,from Arabic qamis
qemisa,sharpen a pen; pencil or reed; sharpen a point,verb,
taqemasa,become slim; become elegant,verb,lit. be sharpened
aqumamisa,beautify oneself by various decorative objects,verb,
qumsa,beauty; charm; attractiveness,noun,
aqameta,rest on a base,verb,
qomate,leper,noun,from Ethiopic root meaning gnaw the feet and hands
qumut,kind of lid made of basket work,noun,
qumut baya,be coiled up,verb,
qumutto,kind of small thorn,noun,from Galla qummutto
qimatira,chatter; talk nonsense,verb,
qimajari quiti,talkative,adjective,lit. chattering leaf
qimatari,kind of plant the seeds of which are used as purgative,noun,perhaps lit. the chattering one
qumiay,louse,noun,Semitic root
qumiay geddala,thumb,noun,lit. that which kills the lice
qunna,kind of measure for grain,noun,from Cushitic
qunni,height; standing,noun,
qunni dallal,retailer who walks around with his goods without having a special place,noun,lit. the standing retailer
qana'a,direct oneself; be well mannered,verb,
qana'a-,prosper,verb,
aqana'a,guide; lead,verb,
yaqinzal,guide,noun,
qunwa,well behaved,adjective,
qini,half; half of bread,noun,from Galla hini
qunac,flea,noun,
qincib,kind of cactus,noun,
qondo,kind of red pepper of small size,noun,from Galla qondo
qandil,lamp,noun,from Arabic qandil
qanani,spoiled child,noun,from Galla qanani
qanana,stand; stop,verb,
aqanana,make stand; erect,verb,causative
amri aqanana,obey orders,verb,
angat aqanana,be proud,verb,lit. erect the neck
qanun,law; regulation,noun,from Arabic qanun
qanun atabaga,enforce the regulation,verb,
qanun adamasa,violate the regulation,verb,
qunquna,coarse or stiff hair,noun,
qantu,good housewife,noun,from Galla qantu
qantunat,quality of a good housewife,noun,
qanta,meat cut into strips,noun,
qanta aSa,cut meat into strips,verb,
qinti,scrofula,noun,from Cushitic
qonata,pinch,verb,
taqunanta,pinch one another; pretend reluctance,verb,
qenter,male organ,noun,
qontar,flax,noun,from Galla qontar
qanawa,tail,noun,
daw qanawa,who roams about aimlessly,noun,lit. the tail of the goat
qanawa gudor,kind of bird,noun,lit. of a long tail
qar-wa qanawa aSa,be very daring so as to disregard public opinion,verb,lit. grow the horn and tail
