harari_latin,english,category,notes
massa,kind of disease with swelling,noun,medical term; from Ga. masSa
mis,fellow,noun,masculine form
mosit,that woman,noun,feminine of mis
misa,according to; respective; respectively,adverb,
misgbabir,any light food taken in the evening of Ramadan between the two main meals,noun,food; also in Ga.
musabbah,sweets made with flour,noun,food; from Ar. (Egyptian) mugabbak
misah,knife,noun,tool
musahara,monthly salary,noun,from Ar. musahara
masena,barren,adjective,
masqit,penknife,noun,tool
masriq,east,noun,direction; from Ar. masriq
msarat,wooden plate on which chewing gum placed in a circle is sent to the bride,noun,cultural item
moset,evening,noun,time
most,time approaching the evening; dusk,noun,time
misti,wife,noun,family
mit,silver,noun,metal; from Ga. meta
mot,wicker basket,noun,container
mita,die,verb,Semitic and Ethiopic mote
mut,death; dead,noun,
mitborad,end,noun,
mitfegar,play; game; amusement,noun,
mitgadal,fight,noun,
mithelad,end,noun,
mitkahal,agreement,noun,
matamiar,obedience,noun,
matnafas,rest,noun,
mitnasa,marriage; wedding,noun,
mitara,animal meat bought at the butcher's shop,noun,food; expression used by women
mitra,oath,noun,
mitraga-be,stealthily,adverb,
matras,bed pillow; head support,noun,furniture
mitartera,steep slope,noun,terrain
mat,mire; this world (by extension),noun,
-mat,if only!,particle,exclamation
mutti,only; alone; special; separate,adjective,
mutabbaq,small round sweet made of sesame seed and honey,noun,food
mattaca,contributions in money to celebrate the festivities,noun,cultural
motad,griddle,noun,cooking utensil
matlima,pin on the right side of the nose,noun,jewelry; from Ar. mitlama
matlay,filter,noun,tool
matten,strap for loading,noun,tool
mataq,side of body; side (in general),noun,body part
matar,drowsiness,noun,state
matara dukkan,grocery store,noun,place
matrag,broom,noun,cleaning tool
massa,suck in; absorb liquid; suck up,verb,
mawdig,place of residence,noun,place
mawlid,a book dealing with the life of the prophet,noun,religious; from Ar. mawlid
mawardi,rose,noun,plant; from Ar. ma ward
mawta,exit; termination,noun,
miy,water,noun,
moy,the spending of the day; day (24 hours); often,noun,time
miya,person hired for fieldwork for one day,noun,occupation
mayin asa,ruminate,verb,
maiz,table,noun,furniture; from Persian miz through Arabic
miz,banana,noun,fruit; from Ar. miz
mazagagga,municipality,noun,government; from Amh. mazzagagga bet
mizhab,religious sect,noun,religion; from Ar. madhab
mezana,weigh,verb,
mizan,balance; scale,noun,tool; from Ar. mizan
mizin,green leaf of banana,noun,plant part
mizaha,dawn,noun,time
mizahe,time about dawn,noun,time
mizar,kind of drum,noun,musical instrument
na'im,the first period of the gay-season,noun,time/season; from Ar. an-na'aim
ni'mat,bounty; blessing,noun,from Ar. ni'ma
nabi,prophet,noun,religious; from Ar. nabiyy
nabera,reside; live; exist; make a livelihood,verb,Ethiopic nby
anabera,keep,verb,causative form
anbabera,put one on top of another,verb,
nasa,pluck out (grass; hair); chew off meat,noun,verb
mensa,sickle,noun,tool
nat baya,chew off meat; gnaw meat; take a bite of meat,verb phrase,
nasih,white,adjective,color
nadi,at the beginning; first,adverb,
tenada'a,resign oneself,verb,
nadaba,raised seat; elevated terrace,noun,furniture
nadada,burn (intransitive),verb,
anadada,keep up the fire; burn (transitive); irritate,verb,causative
atnadada,irritate,verb,
nidda,the fact of being angry,noun,emotion
nadafa,sting; card wool,verb,
nadala,make a hole; bore a hole and go through,verb,
nudul,hole,noun,
mandala,chisel,noun,tool
nadir,rare,adjective,from Ar. nadir
nadur,looking glasses,noun,eyewear; from Ar. nattara
nafa,sift,verb,
wanfit,sieve,noun,tool
nafa'a,serve; become useful,verb,from Ar. nafa'a
tanafa'a,make use of,verb,
adynifa,useless,adjective,lit. that does not serve
nafas,pieces of meat that are not eaten but given to dogs or cats; small pieces of anything,noun,food scraps
nafaha,inflate; blow an instrument; blow air into something,verb,
atnafasa,take a rest,verb,
matnafas,rest,noun,
nafis,precious,adjective,from Ar. nafis
nafsi,soul,noun,Semitic and Ethiopic nafs
nofti,rifle; gun,noun,weapon; from Ar. naft
nigdi asa,trade,verb,from Ethiopic root ngd travel
nugda,guest; customer,noun,
nugla,coward,noun,from Ga. nugla
nagasa,be king; reign,verb,Ethiopic ngs
angasa,make reign; inaugurate,verb,causative
nagasi,king,noun,royalty
naggar,carpenter,noun,occupation; from Ar. nagar
nagasa,be impure; be polluted,verb,from Ar. najisa
anagasa,profane; desecrate,verb,causative
nigat,bee,noun,insect
nahbi asa,pillage; plunder,verb,from Ar. nahaba
nahas,brass,noun,metal; from Ar. nuhas
nahata,churn,verb,
manhata,instrument serving to churn,noun,tool
naka'a,touch; harm,verb,
nukw,mad; crazy,adjective,
nikiti,the being touched; misfortune,noun,
nikah,marriage contract,noun,from Ar. nikah
nixara,soak by plunging; immerse,verb,
naxasa,bite,verb,
namus,good behavior; honor,noun,from Ar. namus; Greek origin
nigi,sewing of baskets; earning through making baskets,noun,craft
nagaha,be awake; wake up (intransitive),verb,
anagaha,wake up (transitive); rouse from sleep,verb,causative
angagaha,arouse; stimulate,verb,
nuguh,awake,adjective,
nagala,pull out; uproot,verb,
nigniq baya,move; shake (intransitive),verb phrase,
nigniq asa,move; shake (transitive),verb phrase,
naqasa,decrease,verb,from Ar. naqasa
naqis,bell,noun,from Ar. naqus
nagsi,carving,noun,from Ar. naqs
anara,beautify the house; take good care of a farm and develop it,verb,perhaps from Ar. anara
nar(a),he was; reside,verb,
nar,pupil of eye,noun,body part; from Ar. nur light
norit,lime; chalk,noun,material; from Ar. nura
nuss,half,noun,from spoken Ar. nuss or nusf
nasa'a,take; take away; marry,verb,
tenasa'a,get married,verb,
atnasa'a,give the son in marriage,verb,
mitnasa,marriage,noun,
