harari_latin,english,category,notes
hamaday,frost,noun,weather term
hamaku,tuft of sorghum after grain has been threshed,noun,agriculture; used to feed cattle
hamiila,be burning with anger,verb,emotion
hewnul,burning with anger,adjective,emotion
hammil,porter,noun,occupation; from Arabic hammal
hemalal xana,come to an end prematurely; be afflicted by something unexpected; be disappointed; fail to accomplish,verb phrase,
hemalal aa,bring something to an end before it is matured; cause to fail,verb phrase,causative
ahmalala,be ugly,verb,appearance
hemimi,dove,noun,animal/bird; from Arabic hamam
hammisti,five,numeral,
hammist assiy,fifty,numeral,literally 'five ten'
asrahammisti,fifteen,numeral,
hammistar,fifth,ordinal,
hamat,mother-in-law,noun,family relation
hamat met,basket made and donated by the daughter-in-law to her mother-in-law,noun phrase,literally 'basket of mother-in-law'
hamtu,sickle of small size,noun,tool; from Cushitic
himtu,fortuneteller,noun,occupation; from Galla
hinna,henna,noun,plant/dye; from Arabic
hinna-wa haniina xana,be red from henna,verb phrase,
honnagel,bridesmaid,noun,wedding term
han'a,the first period of the ganna-season,noun,time/season; from Arabic
hinag,arrow,noun,weapon
handofla,bonfire in the evenings of Ramadan,noun,religious/cultural
handil,cradle (often suspended on the ceiling),noun,furniture; from Arabic/Sanskrit origin
hindirti,spindle,noun,tool
hindirti at,ankle,noun,body part; literally 'bone of spindle'
hangulla,brain,noun,body part; from Cushitic
hangora,kind of tree,noun,plant
hangar,throat; food,noun,body part
hangiwam,voracious; big eater,adjective,
hangus baya,take a bite; gnaw,verb phrase,
hange,all right!,interjection,
hanka,jar of wood serving for milking,noun,container
honkil baya,limp,verb phrase,
hankiir,barley (roasted or not roasted) given to mules or horses,noun,food/animal feed
hankassa,lame,adjective,physical condition
hankassa xana,be crippled,verb phrase,
hanina,red from henna,adjective,appearance; used with hinna
hanoga,strangle,verb,
hunga,kind of big pigeon,noun,animal/bird
hongofti,obstacle; stumbling block,noun,
hingifti mehata,stumble,verb phrase,literally 'an obstacle hit'
hiniqhiniq baya,sob,verb phrase,emotion; related to hiccups
hangot,broad belt of cloth; girdle of cloth,noun,clothing; mainly for women
faras hangot,belt for field workers,noun phrase,clothing
gamiila hangot,rainbow,noun phrase,literally 'belt of the camel'
hanat,top of head; top,noun,body part/position
haq,truth; justice; duty; right; privilege,noun,abstract; from Arabic haqq
haqqaina,truthful,adjective,
hiq baya,have the hiccups,verb phrase,
huqqa,small container of metal used for powdery things,noun,container; from Arabic
haq'a,the seventh period of the beyag-season,noun,time/season; from Arabic
hiqdi,vengeance; grudge,noun,emotion; from Arabic hiqd
haqiin,sea-shell,noun,animal/object
haqaga,small baby in the cradle,noun,person
haqiqa,truth,noun,abstract; from Arabic haqiqa
hara,go,verb,motion
awac hara,visit the holy shrine,verb phrase,religious
salem-be hara,pay a visit,verb phrase,literally 'go in peace'
hera,custom; tradition,noun,culture; from Cushitic
hir baya,be bored,verb phrase,emotion
harbi,battle; war,noun,conflict; from Arabic harb
harbi sailfi,order of battle,noun phrase,military
hirab,second meal in the Ramadan period taken any time before dawn,noun,food/religious
hurub baya,take a mouthful of liquid; sip,verb phrase,eating/drinking
harbaniio,hare,noun,animal
harda,sole of the foot; track; trace; footprint,noun,body part
igi harda,the palm of the hand,noun phrase,body part
harda-zow zipafiso,who roams about,noun phrase,literally 'person whose footprint is taken away'
harda ruffa,who brings good luck,noun phrase,literally 'of a wet (fresh) footprint'
harda nagih,who brings bad luck,noun phrase,literally 'of a white (dry) footprint'
hurdi,yellow,adjective,color; from Arabic
busul hurdi,dark yellow,adjective phrase,color; literally 'cooked yellow'
fukaha hurdi,light yellow,adjective phrase,color
hurdingi,kind of spice giving a yellowish color to soup,noun,food/spice; literally 'yellow wood'
hurdi aif,kind of bird,noun phrase,animal; literally 'yellow bird'
harifa,foam; lather of soap,noun,
horofa,foam; lather of soap,noun,variant of harifa
harfi,alphabet,noun,language; from Arabic harf
harfi naqala,master the alphabet,verb phrase,
hirfa,excellence,noun,abstract; from Arabic hirfa 'craft'
harag,ramping plant; stem of pumpkin (often serving to tie bundles),noun,plant
ti hariga,take counsel,verb phrase,
taharriigu,take counsel from one another,verb phrase,reciprocal
hirgi,counsel,noun,
hirgi ca,take counsel,verb phrase,
hirig baya,remove the bread from the griddle,verb phrase,cooking
hargab,cough,noun,health
hargab asa,have a slight disease,verb phrase,health
harika,movement,noun,from Arabic haraka
harkaba,noise due to a crowd; tumult; quarrel,noun,
horokkola,hook; bent stick,noun,tool
harakkut,wing,noun,body part (animal); literally 'feather of the arm'
haram,morally forbidden; forbidden thing,noun/adjective,religious; from Arabic
haram,weed,noun,plant
haram aa,weed,verb,
hurruma,forest; jungle,noun,nature; from Cushitic
haruq,arm above elbow,noun,body part
haruq-zo haqir inta,he is poor,idiom,literally 'his arm is short'
haruq zilela,who has no relatives,adjective phrase,literally 'who has no arm'
haruq goza'a,make friends,verb phrase,literally 'own an arm'
hargot,yoke,noun,tool/agriculture; from Cushitic
harara,burn (food); overdo,verb,cooking
harara-,be in a rage; get angry; be annoyed,verb,emotion
atharara,irritate; offend; make angry; vex,verb,causative
hirar,anger that is not expressed; rage,noun,emotion
hiraritina,angry,adjective,emotion
hiraram,angry,adjective,emotion
harara asa,crave something to which one is addicted,verb phrase,
harara,craving,noun,
harir,silk,noun,material; from Arabic
harir dukkan,shop for ladies' clothes,noun phrase,literally 'shop for silk'
iga harir,thief (in slang),noun phrase,literally 'hand of silk'
hirira,camel or person that goes in front and leads a caravan of camels,noun,occupation
at-horara,keep awake until late hour at night,verb,
mithorer,keeping up awake late at night during Ramadan chatting and reciting the Koran,noun,religious practice
harasa,plough,verb,agriculture
haras,ploughman; farmer,noun,occupation
hars,arable field,noun,agriculture
mahrasa,plough,noun,tool
haras,woman in childbed,noun,person; from Semitic
haras inay,midwife,noun phrase,occupation; literally 'lady of woman in childbed'
haris,used,adjective,
harasgi,ploughman; farmer,noun,occupation
harsi,arable field; orchard; farm,noun,agriculture
harsi bisaya,farm products,noun phrase,
harsi atewaq,partridge; wild hen,noun phrase,animal; literally 'hen of the field'
harsi wandag,servant hired for fieldwork,noun phrase,occupation
harat,four,numeral,
harat assiy,forty,numeral,literally 'four ten'
asraharat,fourteen,numeral,
harattan,fourth,ordinal,
harad dabli,a square in Harar where four roads meet,noun phrase,place; literally 'four meeting points'
hartu hadara,spend the night without food,verb phrase,
hirat,evening meal; dinner,noun,food
maxtit hirat,night butterfly,noun phrase,animal; literally 'evening meal of the lamp'
hortalim,kicking game,noun,game
hariyya,wild pig,noun,animal
has,crocodile; gluttonous,noun/adjective,animal; meaning 'gluttonous' developed from 'crocodile'
hasaba,think,verb,cognition
tahasaba,settle the account,verb,
ruh-zo tahasaba,search the soul,verb phrase,
hisab,account; bill; about,noun/preposition,from Arabic
hisab-be,about; almost; nearly,preposition,
hasad,euphorbia,noun,plant; from Somali
hasan,good,adjective,from Arabic
hasasa,caress; stroke lightly; grope; smoothen the plaster,verb,
husus,smoothly plastered,adjective,
histi asa,hold a grudge against someone; be envious and prevent from succeeding,verb phrase,from Arabic hasad 'envy'
hasawa,conversation,noun,from Cushitic
hasawa sa,chat; converse,verb phrase,
angat-be laay hasawa,insincere and superficial conversation,noun phrase,literally 'conversation above the neck'
hasa,rub something between two objects (e.g. grain to remove husk),verb,
hasi tin,kind of light white stone used for building,noun phrase,construction material
hasama,end of hair made into two balls and tied by a net,noun,hairstyle
husmat qalil,disrespectful,adjective phrase,literally 'little of respect'; from Arabic hishma
hasir,husk; peel of grain or of coffee,noun,food
hasir qawa,coffee made from the peel,noun phrase,beverage
hatafa,advise,verb,
hitfan,advice,noun,
hitfan saita,advise,verb phrase,literally 'give advice'
hitfan nasa'a,take advice,verb phrase,
hatihati,game of hopscotch,noun,game
hatam,bride up to the end of the first year; newly married until first child,noun,wedding/family
hatannakos,ball of rubber; football,noun,game/sport
hit baya,make a stitch in weaving the basket,verb phrase,craft
hota,lot (in games),noun,game
hita,lot (in games),noun,variant of hota
hataba,wash,verb,
tahataba,wash oneself,verb,reflexive
hatara,be short; shrink (cloth),verb,
athattara,shorten,verb,causative
hatir,short,adjective,
hatara,make a fence,verb,
hutur,fenced-in; fence,noun,
hutur asa,make a fence,verb phrase,
hutur cexala,make a fence,verb phrase,
hattis baya,sneeze,verb phrase,
haw baya,blow (wind),verb phrase,weather
hawa,recover; heal,verb,intransitive
athewa,heal,verb,transitive/causative
awa',air; passion,noun,from Arabic hawa'
hawaii,spices; condiments,noun,food; from Arabic
hawkar,noise produced by arguing people,noun,
hawkar aa,chatter making noise,verb phrase,
hawkaram,noisy,adjective,
hawara,mill,noun,tool
hewasa,stir; confuse,verb,
tehewisa,be turbid,verb,
hiwwif,stirred up; not clear,adjective,
hawaz,a member of the household; (by euphemism) slave,noun,family/social
gay hawaz,household; a household member,noun phrase,
hay,milk,noun,food
hay ruqw',coagulated milk,noun phrase,food
sirkam hay,freshly milked milk,noun phrase,food
gabqab hay,small quantity of milk bought at the market,noun phrase,food
hayzar,kind of drum,noun,musical instrument; literally 'river of milk'
haya,exclamation of rejection or of sending someone away,interjection,
haya,all right,interjection,from Arabic hayya
hayye baya,approve by saying hayye,verb phrase,
hiya,this (feminine),pronoun,from Arabic hiya 'she'
hiyya,this (feminine),pronoun,variant
hiyac,these,pronoun,plural
huy,alive,adjective,from Arabic hayy
haya',respect,noun,from Arabic
haya' aa,respect,verb phrase,
haya' zala,polite,adjective phrase,literally 'who has respect'
haya'am,respectful; humble,adjective,
haya'aiina,respectful; humble,adjective,
haya' qalil,disrespectful,adjective phrase,literally 'little of respect'
hayak,weaver,noun,occupation; from Arabic hayyak
haylatiina,vigorous; violent; crafty,adjective,from Amharic
t-hazaba,keep in memory something bad that someone has done,verb,
hazala,carry on the back,verb,
mohzay,instrument serving to carry something on the back,noun,tool
huzni,sadness,noun,emotion; from Arabic hazina
huzni asa,be sad; grieve,verb phrase,
huzni zalba,sad,adjective phrase,literally 'who has sadness'
hazaza-,cough because of food that got into the windpipe,verb,health
